"","X","Tree","NumberOfVariantsInModel","RateOfChange","Repetition","Sample","NumberOfVariantsObserved","loglik_drift","loglik_selectiononestate","loglik_pathways","loglik_pathwaystoone","loglik_unconstrained","phylosigLambda","phylosigK","BayestraitsIndependent_CladeA","BayestraitsDependent_CladeA","BayestraitsIndependent_Ecology","BayestraitsDependent_Ecology","loglik_pathwaysfromone","BayestraitsMultistate_Free","BayestraitsMultistate_Equal","Pathway_impossible","simulation_variant","ml_model_supported","chisq_p_selectionwronglysupported_df","chisq_p_selectionwronglysupported","chisq_p_selectiontoonestatewronglysupported","selectionwronglysupportedsignificant","selectiontoonewronglysupportedsignificant","chisq_p_selectiontoonestatewronglysupported_df","BT_dependent_CladeA_better","BT_dependent_Forest_better","samplesize","horizontaltransmission","diversityrepresented","BT_MultistateFree_better","chisq_BT_MultitstateFree_better","chisq_BT_CladeAdependent_better","chisq_BT_Forestdependent_better","BT_MultitstateFree_wronglysupported","BT_CladeAdependent_wronglysupported","BT_Forestdependent_wronglysupported","X.1","BT_Multistate_nonconvergence"
"1",1,"Latetree",2,1,1,"full",2,-19.908671162002,-19.2560893276023,-19.952951155764,-27.0852275782124,-19.2560893276023,1.00322314926575,1.0453090396802,-22.743485,-22.368403,-87.446135,-85.054818,-20.0986940567315,NA,NA,NA,"drift_two_slow","loglik_selectiononestate",0.253272169910793,0.253272169910793,0.253272169910793,0,0,0.253272169910793,0.750163999999998,NA,306,"No",1,NA,NA,0.9450016227482,NA,NA,0,NA,1,NA
"2",2,"Latetree",2,1,1,"cladeA",2,-6.04134435286543,-6.01289272800536,-6.04758540168507,-7.07957621979556,-6.01289272800536,1.00322314926575,1.0453090396802,NA,NA,NA,NA,-6.01289272800535,NA,NA,FALSE,"drift_two_slow","loglik_selectiononestate",0.811459177121039,0.811459177121039,0.811459177121039,0,0,0.811459177121039,NA,NA,113,"No",1,NA,NA,NA,NA,NA,NA,NA,2,NA
"3",3,"Latetree",2,1,1,"cladeB",2,-2.88566665786126,-2.7834472392549,-3.47725214003085,-3.04786505780072,-2.7834472392549,1.00322314926575,1.0453090396802,NA,NA,NA,NA,NA,NA,NA,FALSE,"drift_two_slow","loglik_selectiononestate",0.651161551081626,0.651161551081626,0.651161551081626,0,0,0.651161551081626,NA,NA,21,"No",1,NA,NA,NA,NA,NA,NA,NA,3,NA
"4",4,"Latetree",2,1,1,"cladeC",2,-3.59867506620122,-3.57675872549127,-3.6227317507967,-3.89326831099689,-3.57675872549127,1.00322314926575,1.0453090396802,NA,NA,NA,NA,-3.57675872549127,NA,NA,FALSE,"drift_two_slow","loglik_selectiononestate",0.834165218071617,0.834165218071617,0.834165218071617,0,0,0.834165218071617,NA,NA,78,"No",1,NA,NA,NA,NA,NA,NA,NA,4,NA
"5",5,"Latetree",2,1,1,"cladeD",2,-4.30195591797938,-3.94708307795603,-4.35211067081145,-4.34973544968658,-3.94708307795603,1.00322314926575,1.0453090396802,NA,NA,NA,NA,-4.31643062753286,NA,NA,FALSE,"drift_two_slow","loglik_selectiononestate",0.399528252881089,0.399528252881089,0.399528252881089,0,0,0.399528252881089,NA,NA,81,"No",1,NA,NA,NA,NA,NA,NA,NA,5,NA
"6",6,"Latetree",2,1,1,"cladeE",2,-2.99797532232109,-2.75091489539049,-3.18673034375775,-2.82213358592368,-2.75091489539049,1.00322314926575,1.0453090396802,NA,NA,NA,NA,-3.02903046996338,NA,NA,FALSE,"drift_two_slow","loglik_selectiononestate",0.482094821943773,0.482094821943773,0.482094821943773,0,0,0.482094821943773,NA,NA,48,"No",1,NA,NA,NA,NA,NA,NA,NA,6,NA
"7",7,"Latetree",2,1,1,"cladeF",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drift_two_slow","NA",NA,NA,NA,NA,NA,NA,NA,NA,34,"No",0.5,NA,NA,NA,NA,NA,NA,NA,7,NA
"8",8,"Latetree",2,1,1,"ThreeQuarterSample",2,-19.1444271660834,-17.7383920107791,-19.2237074416757,-26.0468353792581,-17.7383920107791,1.00322314926575,1.0453090396802,NA,NA,NA,NA,-19.5591467753575,NA,NA,FALSE,"drift_two_slow","loglik_selectiononestate",0.0935575654191917,0.0935575654191917,0.0935575654191917,0,0,0.0935575654191917,NA,NA,200,"No",1,NA,NA,NA,NA,NA,NA,NA,8,NA
"9",9,"Latetree",2,1,1,"HalfSample",2,-19.25412125574,-18.0027730281706,-19.3239931003208,-26.5184206283438,-18.0027730281706,1.00322314926575,1.0453090396802,NA,NA,NA,NA,-19.6013350240949,NA,NA,FALSE,"drift_two_slow","loglik_selectiononestate",0.113651557903618,0.113651557903618,0.113651557903618,0,0,0.113651557903618,NA,NA,103,"No",1,NA,NA,NA,NA,NA,NA,NA,9,NA
"10",10,"Latetree",2,1,1,"Rarelost",2,-19.4708343980664,-18.3380093871479,-19.5162591482199,-26.4149744641514,-18.3380093871479,1.00322314926575,1.0453090396802,NA,NA,NA,NA,-19.7015439224697,NA,NA,FALSE,"drift_two_slow","loglik_selectiononestate",0.132270703074207,0.132270703074207,0.132270703074207,0,0,0.132270703074207,NA,NA,290,"No",1,NA,NA,NA,NA,NA,NA,NA,10,NA
