"","X","Tree","NumberOfVariantsInModel","RateOfChange","Repetition","Sample","NumberOfVariantsObserved","loglik_drift","loglik_selectiononestate","loglik_pathways","loglik_pathwaystoone","loglik_unconstrained","phylosigLambda","phylosigK","BayestraitsIndependent_CladeA","BayestraitsDependent_CladeA","BayestraitsIndependent_Forest","BayestraitsDependent_Forest","loglik_pathwaysfromone","BayestraitsMultistate_Free","BayestraitsMultistate_Equal","Pathway_impossible","selection_variant","X.1","BT_dependent_CladeA_better","BT_dependent_Forest_better","chisq_BT_CladeAdependent_better","chisq_BT_Forestdependent_better","BT_CladeAdependent_wronglysupported","BT_Forestdependent_wronglysupported"
"1",1,"PamaNyungantree",2,1,2,"full",2,NA,NA,NA,NA,NA,0.999933893038648,6.03939000529693,NA,-223.337645,-172.724385,-172.120659,NA,NA,NA,NA,"Q_onlyandfastInEcology1",1,NA,1.20745200000005,NA,0.876870177231613,NA,0
"2",2,"PamaNyungantree",2,1,2,"ThreeQuarterSample",2,NA,NA,NA,NA,NA,0.999933893038648,6.03939000529693,-101.052996,NA,-82.626089,-82.606294,NA,NA,NA,NA,NA,2,NA,0.0395899999999756,NA,0.999806645400168,NA,0
"3",3,"PamaNyungantree",2,1,2,"HalfSample",2,NA,NA,NA,NA,NA,0.999933893038648,3.42077382174878,NA,-108.856702,-95.658611,-95.571693,NA,NA,NA,NA,NA,3,NA,0.173835999999994,NA,0.99643453971373,NA,0
"4",4,"PamaNyungantree",2,1,2,"Rarelost",2,NA,NA,NA,NA,NA,0.999933893038648,3.00293973824365,-204.986425,-204.516752,-149.24219,-149.934709,NA,NA,NA,NA,NA,4,0.939346,-1.38503800000001,0.918849373258429,1,0,0
"5",5,"PamaNyungantree",2,1,2,"Frequentlost",2,NA,NA,NA,NA,NA,0.999933893038648,4.67151613117948,-125.702058,-123.264105,-101.765578,-101.277419,NA,NA,NA,NA,NA,5,4.87590599999999,0.97631800000002,0.300268932605559,0.913365441043389,0,0
"6",6,"PamaNyungantree",2,1,2,"Ecologyloss",2,NA,NA,NA,NA,NA,0.999933893038648,1.93483240802623,-80.712114,-80.109734,-4.318718,-4.318718,NA,NA,NA,NA,NA,6,1.20475999999999,0,0.877314294720974,1,0,0
"7",7,"PamaNyungantree",2,1,2,"horizontal10",2,NA,NA,NA,NA,NA,0.23936769180105,0.28045845316936,NA,-302.036971,-249.711114,-248.817574,NA,NA,NA,NA,NA,7,NA,1.78708,NA,0.774845281012327,NA,0
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"9",9,"PamaNyungantree",2,1,2,"horizontalEcology10",2,NA,NA,NA,NA,NA,0.999933893038648,1.04823433159125,-212.191042,-211.265404,-159.249049,-155.894429,NA,NA,NA,NA,NA,9,1.85127600000004,6.70924000000002,0.763088962668116,0.152074818916078,0,0
"10",10,"PamaNyungantree",2,1,2,"horizontalNeighbor10",2,NA,NA,NA,NA,NA,0.681666891110695,0.491850294850877,-221.459621,-221.328463,-168.517628,-167.526906,NA,NA,NA,NA,NA,10,0.262315999999998,1.98144400000001,0.992115136668797,0.739172018601708,0,0
