"","X","Tree","NumberOfVariantsInModel","RateOfChange","Repetition","Sample","NumberOfVariantsObserved","loglik_drift","loglik_selectiononestate","loglik_pathways","loglik_pathwaystoone","loglik_unconstrained","phylosigLambda","phylosigK","BayestraitsIndependent_CladeA","BayestraitsDependent_CladeA","BayestraitsIndependent_Forest","BayestraitsDependent_Forest","loglik_pathwaysfromone","BayestraitsMultistate_Free","BayestraitsMultistate_Equal","Pathway_impossible","selection_variant","X.1","BT_dependent_CladeA_better","BT_dependent_Forest_better","chisq_BT_CladeAdependent_better","chisq_BT_Forestdependent_better","BT_CladeAdependent_wronglysupported","BT_Forestdependent_wronglysupported"
"1",1,"PamaNyungantree",2,1,1,"full",2,NA,NA,NA,NA,NA,0.961086401947577,1.04350880538343,-362.226814,-359.438144,-248.314576,-247.298336,NA,NA,NA,NA,"Q_onlyandfastInEcology1",1,5.57733999999994,2.03247999999996,0.233014413695302,0.729784780706875,0,0
"2",2,"PamaNyungantree",2,1,1,"ThreeQuarterSample",2,NA,NA,NA,NA,NA,0.961086401947577,1.04350880538343,NA,-148.097097,-125.269573,-101.933638,NA,NA,NA,NA,NA,2,NA,46.67187,NA,1.78476167178587e-09,NA,1
"3",3,"PamaNyungantree",2,1,1,"HalfSample",2,NA,NA,NA,NA,NA,0.999933893038648,1.30004649436596,-180.733147,-179.259775,-151.367011,-115.898232,NA,NA,NA,NA,NA,3,2.94674400000002,70.937558,0.566776859716174,1.4432899320127e-14,0,1
"4",4,"PamaNyungantree",2,1,1,"Rarelost",2,NA,NA,NA,NA,NA,0.96048384950427,0.826237863678363,NA,-283.609106,-209.610768,-168.661257,NA,NA,NA,NA,NA,4,NA,81.899022,NA,1.11022302462516e-16,NA,1
"5",5,"PamaNyungantree",2,1,1,"Frequentlost",2,NA,NA,NA,NA,NA,0.9196203438601,1.00863750408427,-250.012631,-245.976096,-235.770476,-188.981115,NA,NA,NA,NA,NA,5,8.07306999999997,93.578722,0.0889379223455223,0,0,1
"6",6,"PamaNyungantree",2,1,1,"Ecologyloss",2,NA,NA,NA,NA,NA,0.870211150990821,0.739208562235617,-114.189589,-114.070116,-36.862477,-36.862477,NA,NA,NA,NA,NA,6,0.238945999999999,0,0.9934068695486,1,0,0
"7",7,"PamaNyungantree",2,1,1,"horizontal10",2,NA,NA,NA,NA,NA,0.776722400528976,0.412763581748002,-376.980786,-376.09613,-257.96152,-277.701949,NA,NA,NA,NA,NA,7,1.76931200000001,-39.480858,0.778091860522557,1,0,0
"8",8,"PamaNyungantree",2,1,1,"horizontalClade10",2,NA,NA,NA,NA,NA,0.925624387767814,1.02926145243768,-338.008447,-311.585374,-285.066453,NA,NA,NA,NA,NA,NA,8,52.846146,NA,9.17743658845893e-11,NA,1,NA
"9",9,"PamaNyungantree",2,1,1,"horizontalEcology10",2,NA,NA,NA,NA,NA,0.999933893038648,0.977555127329543,-338.008447,-328.400276,-261.395071,NA,NA,NA,NA,NA,NA,9,19.2163419999999,NA,0.000712631253907303,NA,1,NA
"10",10,"PamaNyungantree",2,1,1,"horizontalNeighbor10",2,NA,NA,NA,NA,NA,0.867611873974122,0.535855730959515,-364.694785,-361.433283,-311.752791,-268.787417,NA,NA,NA,NA,NA,10,6.52300400000001,85.930748,0.163346703831744,0,0,1
