"","X","Tree","NumberOfVariantsInModel","RateOfChange","Repetition","Sample","NumberOfVariantsObserved","loglik_drift","loglik_selectiononestate","loglik_pathways","loglik_pathwaystoone","loglik_unconstrained","phylosigLambda","phylosigK","BayestraitsIndependent_CladeA","BayestraitsDependent_CladeA","BayestraitsIndependent_Forest","BayestraitsDependent_Forest","loglik_pathwaysfromone","BayestraitsMultistate_Free","BayestraitsMultistate_Equal","Pathway_impossible","selection_variant","X.1","BT_dependent_CladeA_better","BT_dependent_Forest_better","chisq_BT_CladeAdependent_better","chisq_BT_Forestdependent_better","BT_CladeAdependent_wronglysupported","BT_Forestdependent_wronglysupported"
"1",1,"Grafentree",2,1,1,"full",2,NA,NA,NA,NA,NA,1.00581585711535,55.6467235522501,-7.782722,-2.920184,-111.689288,-106.959378,NA,NA,NA,NA,"Q_onlyandfastInEcology1",1,9.725076,9.45982000000001,0.0453223321569606,0.0505794366196957,1,0
"2",2,"Grafentree",2,1,1,"ThreeQuarterSample",2,NA,NA,NA,NA,NA,1.00581585711535,55.6467235522501,-7.613003,-3.068056,-83.146977,-77.917742,NA,NA,NA,NA,NA,2,9.089894,10.45847,0.0588914160048015,0.0333738884502519,0,1
"3",3,"Grafentree",2,1,1,"HalfSample",2,NA,NA,NA,NA,NA,1.00581585711535,27.4979485116036,-7.418015,-2.949896,-59.137346,-54.133551,NA,NA,NA,NA,NA,3,8.936238,10.00759,0.0627131378383657,0.0403000233463502,0,1
"4",4,"Grafentree",2,1,1,"Rarelost",2,NA,NA,NA,NA,NA,1.00581585711535,49.9951512483209,-7.474163,-2.878131,-91.338879,-86.407854,NA,NA,NA,NA,NA,4,9.192064,9.86205000000001,0.0564740394692388,0.042816662046014,0,1
"5",5,"Grafentree",2,1,1,"Frequentlost",2,NA,NA,NA,NA,NA,1.00581585711535,32.8981351849482,-7.782722,-2.949186,-75.444559,-72.173706,NA,NA,NA,NA,NA,5,9.667072,6.541706,0.0464252092035152,0.16218146328598,1,0
"6",6,"Grafentree",2,1,1,"Ecologyloss",2,NA,NA,NA,NA,NA,1.00581585711535,39.9353785488922,-7.666438,-2.886887,-85.576158,-80.944234,NA,NA,NA,NA,NA,6,9.559102,9.26384800000002,0.0485468968924498,0.0548324626906195,1,0
"7",7,"Grafentree",2,1,1,"horizontal10",2,NA,NA,NA,NA,NA,0.638519636627173,0.110374144105687,-47.135638,-33.618156,-151.042204,-145.115635,NA,NA,NA,NA,NA,7,27.034964,11.853138,1.95579555340997e-05,0.0184774464174073,1,1
"8",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"9",9,"Grafentree",2,1,1,"horizontalEcology10",2,NA,NA,NA,NA,NA,0.783715161865476,0.101458403206535,-49.113257,-34.524435,-153.019822,-129.259206,NA,NA,NA,NA,NA,9,29.177644,47.521232,7.19396641590819e-06,1.18756404710041e-09,1,1
"10",10,"Grafentree",2,1,1,"horizontalNeighbor10",2,NA,NA,NA,NA,NA,0.572227121658039,0.0789736628725463,-60.890396,-43.110629,-164.796962,-158.063212,NA,NA,NA,NA,NA,10,35.559534,13.4675,3.56480273300264e-07,0.00920364081789038,1,1
"11",11,"Grafentree",2,1,2,"full",2,NA,NA,NA,NA,NA,1.00581585711535,3.10264158307418,-12.23796,-7.701827,-116.144526,-111.343066,NA,NA,NA,NA,"Q_onlyandfastInEcology1",11,9.072266,9.60292000000001,0.059318339318658,0.0476748921358516,0,1
"12",12,"Grafentree",2,1,2,"ThreeQuarterSample",2,NA,NA,NA,NA,NA,1.00581585711535,3.10264158307418,-7.624392,-2.870689,-83.137333,-77.788403,NA,NA,NA,NA,NA,12,9.507406,10.69786,0.0495952928253385,0.0301779514635512,1,1
"13",13,"Grafentree",2,1,2,"HalfSample",2,NA,NA,NA,NA,NA,1.00581585711535,1.55943825110786,-11.627698,-7.101888,-59.029101,-54.228971,NA,NA,NA,NA,NA,13,9.05162,9.60025999999999,0.0598220978508052,0.0477273977864064,0,1
"14",14,"Grafentree",2,1,2,"Rarelost",2,NA,NA,NA,NA,NA,1.00581585711535,2.92410436260868,-11.79583,-7.02171,-92.981915,-89.077592,NA,NA,NA,NA,NA,14,9.54824,7.80864600000001,0.0487654047708067,0.0988446415293227,1,0
"15",15,"Grafentree",2,1,2,"Frequentlost",2,NA,NA,NA,NA,NA,1.00581585711535,32.3975454460418,-7.766662,-2.915989,-76.284364,-72.762849,NA,NA,NA,NA,NA,15,9.701346,7.04302999999999,0.0457704632715689,0.133631684666016,1,0
"16",16,"Grafentree",2,1,2,"Ecologyloss",2,NA,NA,NA,NA,NA,1.00581585711535,2.26836613390322,-12.072613,-7.576774,-80.766315,-76.011722,NA,NA,NA,NA,NA,16,8.991678,9.509186,0.061307828295196,0.0495588373747985,0,1
