"","X","Tree","NumberOfVariantsInModel","RateOfChange","Repetition","Sample","NumberOfVariantsObserved","loglik_drift","loglik_selectiononestate","loglik_pathways","loglik_pathwaystoone","loglik_unconstrained","phylosigLambda","phylosigK","BayestraitsIndependent_CladeA","BayestraitsDependent_CladeA","BayestraitsIndependent_Forest","BayestraitsDependent_Forest","loglik_pathwaysfromone","BayestraitsMultistate_Free","BayestraitsMultistate_Equal","Pathway_impossible","simulation_variant","ml_model_supported","chisq_p_selectionwcorrectlysupported","chisq_p_selectiontoonestatecorrectlysupported","selectionwronglysupportedsignificant","selectiontoonewronglysupportedsignificant","BT_dependent_CladeA_better","BT_dependent_Forest_better","samplesize","horizontaltransmission","diversityrepresented","BT_MultistateFree_better","chisq_BT_MultitstateFree_better","chisq_BT_CladeAdependent_better","chisq_BT_Forestdependent_better","X.1","BT_Multistate_nonconvergence","BT_MultitstateFree_correctlysupported","BT_CladeAdependent_wronglysupported","BT_Forestdependent_wronglysupported"
"1",1,"PamaNyungantree",2,1,1,"full",2,-20.0443980975968,-19.647980307092,-20.4771813551086,-29.0413412707724,-19.647980307092,1.00322314926575,1.28481571931851,-23.135376,-22.486089,-87.838026,-87.352662,-28.5494706608277,NA,NA,NA,"selection_two_twofold","loglik_selectiononestate",0.373244082985074,0.373244082985074,0,0,1.298574,0.970728000000008,306,"No",1,NA,NA,0.861617427284747,0.914201621013157,1,NA,NA,0,0
"2",2,"PamaNyungantree",2,1,1,"cladeA",2,-5.0346301575859,-4.99368995306445,-5.0411577519458,-6.04657788848112,-4.99368995306445,1.00322314926575,1.28481571931851,NA,NA,NA,NA,-4.99368995306445,NA,NA,FALSE,NA,"loglik_selectiononestate",0.774765128936473,0.774765128936473,0,0,NA,NA,113,"No",1,NA,NA,NA,NA,2,NA,NA,NA,NA
"3",3,"PamaNyungantree",2,1,1,"cladeB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,21,"No",0.5,NA,NA,NA,NA,3,NA,NA,NA,NA
"4",4,"PamaNyungantree",2,1,1,"cladeC",2,-3.72956371140501,-3.6964308180047,-3.73946650067707,-4.31856074300099,-3.6964308180047,1.00322314926575,1.28481571931851,NA,NA,NA,NA,-3.69643081800469,NA,NA,FALSE,NA,"loglik_selectiononestate",0.796853470149023,0.796853470149023,0,0,NA,NA,78,"No",1,NA,NA,NA,NA,4,NA,NA,NA,NA
"5",5,"PamaNyungantree",2,1,1,"cladeD",2,-7.77888068852818,-7.51872775466817,-8.40222684995312,-7.51872775466818,-7.51872775466817,1.00322314926575,1.28481571931851,NA,NA,NA,NA,-13.1138942402833,NA,NA,FALSE,NA,"loglik_selectiononestate",0.470711236696097,0.470711236696097,0,0,NA,NA,81,"No",1,NA,NA,NA,NA,5,NA,NA,NA,NA
"6",6,"PamaNyungantree",2,1,1,"cladeE",2,-3.19676693161257,-3.14807568479228,-3.23366354796175,-3.19474124955675,-3.14807568479228,1.00322314926575,1.28481571931851,NA,NA,NA,NA,-3.14807568479189,NA,NA,FALSE,NA,"loglik_selectiononestate",0.754993646381136,0.754993646381136,0,0,NA,NA,48,"No",1,NA,NA,NA,NA,6,NA,NA,NA,NA
"7",7,"PamaNyungantree",2,1,1,"cladeF",2,-2.69233475941635,-2.69231014588013,-3.3825412647409,-2.77196892870032,-2.69231014588013,1.00322314926575,1.28481571931851,NA,NA,NA,NA,-2.78789382092166,NA,NA,FALSE,NA,"loglik_selectiononestate",0.994401927705399,0.994401927705399,0,0,NA,NA,34,"No",1,NA,NA,NA,NA,7,NA,NA,NA,NA
"8",8,"PamaNyungantree",2,1,1,"ThreeQuarterSample",2,-18.0876412485156,-17.2090662536187,-18.3595704146295,-25.6467086404173,-17.2090662536187,1.00322314926575,1.28481571931851,NA,NA,NA,NA,-22.6351036710647,NA,NA,FALSE,NA,"loglik_selectiononestate",0.184980397965707,0.184980397965707,0,0,NA,NA,200,"No",1,NA,NA,NA,NA,8,NA,NA,NA,NA
"9",9,"PamaNyungantree",2,1,1,"HalfSample",2,-18.9802829870099,-18.5360892793213,-19.4560260241275,-28.1874615553981,-18.5360892793213,1.00322314926575,1.28481571931851,NA,NA,NA,NA,-27.718368385627,NA,NA,FALSE,NA,"loglik_selectiononestate",0.345914677422602,0.345914677422602,0,0,NA,NA,103,"No",1,NA,NA,NA,NA,9,NA,NA,NA,NA
"10",10,"PamaNyungantree",2,1,1,"Rarelost",2,-19.9307434854248,-19.4186921245173,-20.3700627115918,-28.6185760201232,-19.4186921245173,1.00322314926575,1.28481571931851,NA,NA,NA,NA,-28.0418928470954,NA,NA,FALSE,NA,"loglik_selectiononestate",0.311547804869213,0.311547804869213,0,0,NA,NA,290,"No",1,NA,NA,NA,NA,10,NA,NA,NA,NA
"11",11,"PamaNyungantree",2,1,1,"Frequentlost",2,-19.5758817385498,-19.2543040362033,-20.036180188075,-29.0261651762132,-19.2543040362033,1.00322314926575,1.28481571931851,NA,NA,NA,NA,-27.9107916897512,NA,NA,FALSE,NA,"loglik_selectiononestate",0.422570483871831,0.422570483871831,0,0,NA,NA,200,"No",1,NA,NA,NA,NA,11,NA,NA,NA,NA
"12",12,"PamaNyungantree",2,1,1,"Ecologyloss",2,-16.7892700602639,-16.5876362931967,-17.3995140472621,-26.4894277209967,-16.5876362931967,1.00322314926575,1.28481571931851,NA,NA,NA,NA,-22.961515836976,NA,NA,FALSE,NA,"loglik_selectiononestate",0.525406572682857,0.525406572682857,0,0,NA,NA,306,"No",1,NA,NA,NA,NA,12,NA,NA,NA,NA
"13",13,"PamaNyungantree",2,1,1,"horizontal10",2,-109.284082271343,-109.062212964374,-109.977232541149,-227.339440049737,-109.062212964374,1.00322314926575,1.28481571931851,-112.549608,-111.815708,-177.252259,-176.383315,-133.465492336741,NA,NA,FALSE,NA,"loglik_selectiononestate",0.505323483422065,0.505323483422065,0,0,1.46780000000001,1.737888,306,"Yes",1,NA,NA,0.832329574473683,0.783824265800232,13,NA,NA,0,0
"14",14,"PamaNyungantree",2,1,1,"horizontalClade10",2,-16.4779277661755,-15.63990407799,-16.8439909581096,-20.3814805592699,-15.63990407799,1.00322314926575,1.28481571931851,-19.1273,-16.49873,-83.82995,-82.927705,-25.4892307485632,NA,NA,FALSE,NA,"loglik_selectiononestate",0.195450492188658,0.195450492188658,0,0,5.25714000000001,1.80448999999999,306,"Yes",1,NA,NA,0.261916017962977,0.771660777896053,14,NA,NA,0,0
"15",15,"PamaNyungantree",2,1,1,"horizontalEcology10",2,-94.8168138185975,-78.1070268198261,-95.5099427844483,-95.2231056093776,-78.1070268198261,1.00322314926575,1.28481571931851,-81.594422,-80.834683,-146.297073,-140.886104,-149.109309999833,NA,NA,FALSE,NA,"loglik_selectiononestate",7.42726680158512e-09,7.42726680158512e-09,1,1,1.51947799999999,10.821938,306,"Yes",1,NA,NA,0.823185674025236,0.0286397813757909,15,NA,NA,0,1
"16",16,"PamaNyungantree",2,1,1,"horizontalNeighbor10",2,-111.601383451332,-105.479010066408,-112.294534246598,-183.853688829826,-105.479010066408,1.00322314926575,1.28481571931851,-108.966406,-108.523616,-173.669056,-170.508136,-178.534044467193,NA,NA,FALSE,NA,"loglik_selectiononestate",0.000466569849930432,0.000466569849930432,1,1,0.885580000000004,6.32184000000001,306,"Yes",1,NA,NA,0.926620427173356,0.17636778155595,16,NA,NA,0,0
"17",17,"PamaNyungantree",2,1,2,"full",2,-23.5535344176849,-22.0524443462096,-23.5889472694258,-52.820722050914,-22.0524443462096,1.00322314926575,0.0902558392317955,-25.53984,-23.699691,-90.24249,-89.170923,-23.6922390653569,NA,NA,NA,"selection_two_twofold","loglik_selectiononestate",0.0831525529908893,0.0831525529908893,0,0,3.680298,2.143134,306,"No",1,NA,NA,0.450997950239008,0.709452541788933,17,NA,NA,0,0
"18",18,"PamaNyungantree",2,1,2,"cladeA",2,-3.62117613931983,-3.58724935756999,-3.6282636360952,-3.87635780669284,-3.58724935756999,1.00322314926575,0.0902558392317955,NA,NA,NA,NA,-3.58724935756998,NA,NA,FALSE,NA,"loglik_selectiononestate",0.79448801398443,0.79448801398443,0,0,NA,NA,113,"No",1,NA,NA,NA,NA,18,NA,NA,NA,NA
"19",19,"PamaNyungantree",2,1,2,"cladeB",2,-5.84409571240093,-5.826040981808,-5.8570617416776,-7.05292003150348,-5.826040981808,1.00322314926575,0.0902558392317955,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"loglik_selectiononestate",0.849289621596216,0.849289621596216,0,0,NA,NA,21,"No",1,NA,NA,NA,NA,19,NA,NA,NA,NA
"20",20,"PamaNyungantree",2,1,2,"cladeC",2,-6.2701475400073,-4.56377496546359,-6.27931277841691,-7.18221745823965,-4.56377496546359,1.00322314926575,0.0902558392317955,NA,NA,NA,NA,-6.31238361098932,NA,NA,FALSE,NA,"loglik_selectiononestate",0.0646947401473159,0.0646947401473159,0,0,NA,NA,78,"No",1,NA,NA,NA,NA,20,NA,NA,NA,NA
"21",21,"PamaNyungantree",2,1,2,"cladeD",2,-5.56358732815625,-4.37095331657643,-5.57308607307006,-9.66581358443841,-4.37095331657643,1.00322314926575,0.0902558392317955,NA,NA,NA,NA,-5.57813711546065,NA,NA,FALSE,NA,"loglik_selectiononestate",0.122483883651499,0.122483883651499,0,0,NA,NA,81,"No",1,NA,NA,NA,NA,21,NA,NA,NA,NA
"22",22,"PamaNyungantree",2,1,2,"cladeE",2,-5.72991761810054,-4.07811206783979,-5.742305680391,-5.84703293944403,-4.07811206783979,1.00322314926575,0.0902558392317955,NA,NA,NA,NA,-5.79991144025226,NA,NA,FALSE,NA,"loglik_selectiononestate",0.0691277598144484,0.0691277598144484,0,0,NA,NA,48,"No",1,NA,NA,NA,NA,22,NA,NA,NA,NA
"23",23,"PamaNyungantree",2,1,2,"cladeF",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,34,"No",0.5,NA,NA,NA,NA,23,NA,NA,NA,NA
"24",24,"PamaNyungantree",2,1,2,"ThreeQuarterSample",2,-15.2630832551216,-13.8327400776429,-15.2882085157039,-22.7644545783086,-13.8327400776429,1.00322314926575,0.0902558392317955,NA,NA,NA,NA,-15.3439867809749,NA,NA,FALSE,NA,"loglik_selectiononestate",0.0907687607584248,0.0907687607584248,0,0,NA,NA,200,"No",1,NA,NA,NA,NA,24,NA,NA,NA,NA
"25",25,"PamaNyungantree",2,1,2,"HalfSample",2,-11.1826441891232,-10.2898804311031,-11.1891026528023,-21.9022785408147,-10.2898804311031,1.00322314926575,0.0902558392317955,NA,NA,NA,NA,-11.2071221679088,NA,NA,FALSE,NA,"loglik_selectiononestate",0.181472041571478,0.181472041571478,0,0,NA,NA,103,"No",1,NA,NA,NA,NA,25,NA,NA,NA,NA
"26",26,"PamaNyungantree",2,1,2,"Rarelost",2,-17.8281516268948,-16.6024810145042,-17.8430091188071,-44.66971083738,-16.6024810145042,1.00322314926575,0.0902558392317955,NA,NA,NA,NA,-17.8911779927292,NA,NA,FALSE,NA,"loglik_selectiononestate",0.117424496040614,0.117424496040614,0,0,NA,NA,290,"No",1,NA,NA,NA,NA,26,NA,NA,NA,NA
"27",27,"PamaNyungantree",2,1,2,"Frequentlost",2,-21.8050945723092,-19.5758715972154,-21.8630706089763,-41.5863896014841,-19.5758715972154,1.00322314926575,0.0902558392317955,NA,NA,NA,NA,-22.0508686386394,NA,NA,FALSE,NA,"loglik_selectiononestate",0.0347290793642865,0.0347290793642865,1,1,NA,NA,200,"No",1,NA,NA,NA,NA,27,NA,NA,NA,NA
"28",28,"PamaNyungantree",2,1,2,"Ecologyloss",2,-16.7463007650168,-14.8162209150588,-16.7784511610483,-25.3247930748854,-14.8162209150588,1.00322314926575,0.0902558392317955,NA,NA,NA,NA,-16.897306401055,NA,NA,FALSE,NA,"loglik_selectiononestate",0.0494456217221511,0.0494456217221511,1,1,NA,NA,306,"No",1,NA,NA,NA,NA,28,NA,NA,NA,NA
"29",29,"PamaNyungantree",2,1,2,"horizontal10",2,-136.187362798934,-110.865426896632,-136.880513563782,-249.177477346649,-110.865426896632,1.00322314926575,0.0902558392317955,-114.376806,-111.295103,-179.079456,-177.396602,-154.512981583717,NA,NA,FALSE,NA,"loglik_selectiononestate",1.10744746706359e-12,1.10744746706359e-12,1,1,6.16340600000001,3.36570799999998,306,"Yes",1,NA,NA,0.187272838379004,0.498589161131093,29,NA,NA,0,0
"30",30,"PamaNyungantree",2,1,2,"horizontalClade10",2,-21.0218355934125,-18.1834754587269,-21.0366476892563,-44.3037200218264,-18.1834754587269,1.00322314926575,0.0902558392317955,-21.670871,-19.451966,-86.373521,-85.618484,-21.1288293086401,NA,NA,FALSE,NA,"loglik_selectiononestate",0.0171914745555191,0.0171914745555191,1,1,4.43781000000001,1.510074,306,"Yes",1,NA,NA,0.349985427741502,0.824855499026754,30,NA,NA,0,0
"31",31,"PamaNyungantree",2,1,2,"horizontalEcology10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,306,"Yes",0.5,NA,NA,NA,NA,31,NA,NA,NA,NA
"32",32,"PamaNyungantree",2,1,2,"horizontalNeighbor10",2,-41.5772146550842,-35.0957874596223,-41.7720575404817,-77.2246067510956,-35.0957874596223,1.00322314926575,0.0902558392317955,-38.583183,-37.100888,-103.285833,-101.76399,-50.5235609346154,NA,NA,FALSE,NA,"loglik_selectiononestate",0.000317732384352731,0.000317732384352731,1,1,2.96459,3.04368599999998,306,"Yes",1,NA,NA,0.563768561011182,0.550541457648081,32,NA,NA,0,0
"33",33,"PamaNyungantree",2,1,3,"full",2,-8.50894044783423,-8.01845963268482,-8.54674049982238,-12.7793566132229,-8.01845963268482,1.00322314926575,16.9432300844113,-11.505855,-11.060485,-76.208505,-68.6484,-8.01845963268565,NA,NA,NA,"selection_two_twofold","loglik_selectiononestate",0.321961510403777,0.321961510403777,0,0,0.890740000000001,15.12021,306,"No",1,NA,NA,0.925885542813309,0.00445827863572246,33,NA,NA,0,1
"34",34,"PamaNyungantree",2,1,3,"cladeA",2,-4.3138516394069,-4.06730499864726,-4.32098980012555,-5.95228140938318,-4.06730499864726,1.00322314926575,16.9432300844113,NA,NA,NA,NA,-4.06730499864727,NA,NA,FALSE,NA,"loglik_selectiononestate",0.482550697658761,0.482550697658761,0,0,NA,NA,113,"No",1,NA,NA,NA,NA,34,NA,NA,NA,NA
"35",35,"PamaNyungantree",2,1,3,"cladeB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,21,"No",0.5,NA,NA,NA,NA,35,NA,NA,NA,NA
"36",36,"PamaNyungantree",2,1,3,"cladeC",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,78,"No",0.5,NA,NA,NA,NA,36,NA,NA,NA,NA
"37",37,"PamaNyungantree",2,1,3,"cladeD",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,81,"No",0.5,NA,NA,NA,NA,37,NA,NA,NA,NA
"38",38,"PamaNyungantree",2,1,3,"cladeE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,48,"No",0.5,NA,NA,NA,NA,38,NA,NA,NA,NA
"39",39,"PamaNyungantree",2,1,3,"cladeF",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,34,"No",0.5,NA,NA,NA,NA,39,NA,NA,NA,NA
"40",40,"PamaNyungantree",2,1,3,"ThreeQuarterSample",2,-8.17226569939419,-7.77711354037981,-8.22545283562834,-11.9551452865922,-7.77711354037981,1.00322314926575,16.9432300844113,NA,NA,NA,NA,-7.77711354037981,NA,NA,FALSE,NA,"loglik_selectiononestate",0.37400812227915,0.37400812227915,0,0,NA,NA,200,"No",1,NA,NA,NA,NA,40,NA,NA,NA,NA
"41",41,"PamaNyungantree",2,1,3,"HalfSample",2,-8.23704820971702,-7.79003666957126,-8.28706079702432,-12.2290661114186,-7.79003666957126,1.00322314926575,16.9432300844113,NA,NA,NA,NA,-7.79003666957125,NA,NA,FALSE,NA,"loglik_selectiononestate",0.34438941486489,0.34438941486489,0,0,NA,NA,103,"No",1,NA,NA,NA,NA,41,NA,NA,NA,NA
"42",42,"PamaNyungantree",2,1,3,"Rarelost",2,-8.43105478772291,-8.01819920904476,-8.47196401781453,-12.3169383532671,-8.01819920904476,1.00322314926575,16.9432300844113,NA,NA,NA,NA,-8.01819920904561,NA,NA,FALSE,NA,"loglik_selectiononestate",0.36351563162531,0.36351563162531,0,0,NA,NA,290,"No",1,NA,NA,NA,NA,42,NA,NA,NA,NA
"43",43,"PamaNyungantree",2,1,3,"Frequentlost",2,-8.29647141300966,-7.75303475086162,-8.34335931376294,-12.7171222330799,-7.75303475086162,1.00322314926575,16.9432300844113,NA,NA,NA,NA,-7.75303475086162,NA,NA,FALSE,NA,"loglik_selectiononestate",0.29716501884911,0.29716501884911,0,0,NA,NA,200,"No",1,NA,NA,NA,NA,43,NA,NA,NA,NA
"44",44,"PamaNyungantree",2,1,3,"Ecologyloss",2,-7.49631128480544,-7.21749574217179,-7.704556423332,-11.0111064532631,-7.21749574217179,1.00322314926575,16.9432300844113,NA,NA,NA,NA,-7.21749574217095,NA,NA,FALSE,NA,"loglik_selectiononestate",0.45521629203257,0.45521629203257,0,0,NA,NA,306,"No",1,NA,NA,NA,NA,44,NA,NA,NA,NA
"45",45,"PamaNyungantree",2,1,3,"horizontal10",2,-95.640725944803,-95.1284787171758,-96.3338312247328,-157.752142106872,-95.1284787171758,1.00322314926575,16.9432300844113,-98.615874,-98.525982,-163.318524,-155.302725,-138.720401219428,NA,NA,FALSE,NA,"loglik_selectiononestate",0.311455278863158,0.311455278863158,0,0,0.179784000000012,16.031598,306,"Yes",1,NA,NA,0.99619387050605,0.00297705561009765,45,NA,NA,0,1
"46",46,"PamaNyungantree",2,1,3,"horizontalClade10",2,-29.3915953943585,-28.8500886854907,-29.6275204551721,-62.4482309959842,-28.8500886854907,1.00322314926575,16.9432300844113,-32.337484,-24.90597,-97.040134,-89.618503,-28.8500886854906,NA,NA,FALSE,NA,"loglik_selectiononestate",0.298024410689405,0.298024410689405,0,0,14.863028,14.843262,306,"Yes",1,NA,NA,0.00499390231677366,0.0050375900041455,46,NA,NA,1,1
"47",47,"PamaNyungantree",2,1,3,"horizontalEcology10",2,-86.1652588024419,-74.0324528536232,-86.8577032559564,-77.2933596600653,-74.0324528536232,1.00322314926575,16.9432300844113,-77.519848,-75.538401,-142.222499,-130.605715,-165.690539108066,NA,NA,FALSE,NA,"loglik_selectiononestate",8.39240756889126e-07,8.39240756889126e-07,1,1,3.96289400000001,23.233568,306,"Yes",1,NA,NA,0.411050892193178,0.000113721735633066,47,NA,NA,0,1
"48",48,"PamaNyungantree",2,1,3,"horizontalNeighbor10",2,-129.154152615834,-126.871191319342,-129.847304558692,-210.012623080454,-126.871191319342,1.00322314926575,16.9432300844113,-130.358587,-129.542844,-195.061237,-186.006545,-213.362998116024,NA,NA,FALSE,NA,"loglik_selectiononestate",0.0326141031037744,0.0326141031037744,1,1,1.631486,18.109384,306,"Yes",1,NA,NA,0.803122318562041,0.00117480558015892,48,NA,NA,0,1
"49",49,"PamaNyungantree",2,1,4,"full",2,-9.25930574597106,-7.81590220709394,-9.26373573306912,-8.98245959588819,-7.81590220709394,1.00322314926575,1.28252774397617,-11.303298,-9.862951,-76.005948,-74.683316,-9.35177427138967,NA,NA,NA,"selection_two_twofold","loglik_selectiononestate",0.0893077574563483,0.0893077574563483,0,0,2.880694,2.645264,306,"No",1,NA,NA,0.577985349399054,0.618826105049905,49,NA,NA,0,0
"50",50,"PamaNyungantree",2,1,4,"cladeA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,113,"No",0.5,NA,NA,NA,NA,50,NA,NA,NA,NA
"51",51,"PamaNyungantree",2,1,4,"cladeB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,21,"No",0.5,NA,NA,NA,NA,51,NA,NA,NA,NA
"52",52,"PamaNyungantree",2,1,4,"cladeC",2,-5.68156906501621,-4.90356801860373,-5.96932224099741,-4.90356801860373,-4.90356801860373,1.00322314926575,1.28252774397617,NA,NA,NA,NA,-5.77400229836416,NA,NA,FALSE,NA,"loglik_selectiononestate",0.212251552172431,0.212251552172431,0,0,NA,NA,78,"No",1,NA,NA,NA,NA,52,NA,NA,NA,NA
"53",53,"PamaNyungantree",2,1,4,"cladeD",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,81,"No",0.5,NA,NA,NA,NA,53,NA,NA,NA,NA
"54",54,"PamaNyungantree",2,1,4,"cladeE",2,-4.34290350919767,-3.80031510247377,-5.01990091729236,-3.80031510247377,-3.80031510247377,1.00322314926575,1.28252774397617,NA,NA,NA,NA,-4.58915090630818,NA,NA,FALSE,NA,"loglik_selectiononestate",0.297542347258262,0.297542347258262,0,0,NA,NA,48,"No",1,NA,NA,NA,NA,54,NA,NA,NA,NA
