"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait","pvalue_trend"
"1","PamaNyungantree","1","full","0.06","0.001","1.43822683214179","1"
"2","PamaNyungantree","1","threequarter","0.16","0.001","1.43822683214179","0"
"3","PamaNyungantree","1","half","0.136","0.001","1.43822683214179","0"
"4","PamaNyungantree","1","positiveloss","0.098","0.001","1.43822683214179","0.797613157352373"
"5","PamaNyungantree","1","ecologyloss",NA,"0.004","1.43822683214179","0"
"6","PamaNyungantree","1","horizontal10","0.094","0.001","1.43822683214179","0"
"7","PamaNyungantree","1","horizontal10clade","0.044","0.001","1.43822683214179","0"
"8","PamaNyungantree","1","horizontal10ecology","0.064","0.001","1.43822683214179","0"
"9","PamaNyungantree","1","horizontalnodes","0.002","0.001","1.43822683214179","0"
"10","PamaNyungantree","1","horizontalnodesecology","0.636","0.001","1.43822683214179","0"
"11","PamaNyungantree","1","horizontalneighbor","0.08","0.001","1.43822683214179","0"
"12","PamaNyungantree","2","full","0.286","0.89","0.386541154695171","1"
"13","PamaNyungantree","2","threequarter","0.492","0.95","0.386541154695171","0.955919330325045"
"14","PamaNyungantree","2","half","0.662","0.78","0.386541154695171","0.999992534081056"
"15","PamaNyungantree","2","positiveloss","0.13","0.724","0.386541154695171","0.99927339906094"
"16","PamaNyungantree","2","ecologyloss",NA,"0.77","0.386541154695171","0.99990307399096"
"17","PamaNyungantree","2","horizontal10","0.318","0.978","0.386541154695171","0"
"18","PamaNyungantree","2","horizontal10clade","0.286","0.766","0.386541154695171","0"
"19","PamaNyungantree","2","horizontal10ecology","0.308","0.86","0.386541154695171","0"
"20","PamaNyungantree","2","horizontalnodes","0.634","0.564","0.386541154695171","0"
"21","PamaNyungantree","2","horizontalnodesecology","0.36","0.798","0.386541154695171","0"
"22","PamaNyungantree","2","horizontalneighbor","0.484","0.866","0.386541154695171","0"
"23","PamaNyungantree","3","full","0.966","0.326","0.254528809910482","1"
"24","PamaNyungantree","3","threequarter","0.91","0.476","0.254528809910482","0.982796962237569"
"25","PamaNyungantree","3","half","0.938","0.47","0.254528809910482","0.999999711463824"
"26","PamaNyungantree","3","positiveloss","0.814","0.25","0.254528809910482","0.999999999999999"
"27","PamaNyungantree","3","ecologyloss",NA,"0.598","0.254528809910482","0.99984201035355"
"28","PamaNyungantree","3","horizontal10","0.996","0.36","0.254528809910482","0"
"29","PamaNyungantree","3","horizontal10clade","0.92","0.312","0.254528809910482","0"
"30","PamaNyungantree","3","horizontal10ecology","0.93","0.466","0.254528809910482","0"
"31","PamaNyungantree","3","horizontalnodes","0.45","0.196","0.254528809910482","0"
"32","PamaNyungantree","3","horizontalnodesecology","0.116","0.364","0.254528809910482","0"
"33","PamaNyungantree","3","horizontalneighbor","0.97","0.388","0.254528809910482","0"
"34","PamaNyungantree","4","full","0.95","0.00800000000000001","0.671574212483703","1"
"35","PamaNyungantree","4","threequarter","0.942","0.222","0.671574212483703","0"
"36","PamaNyungantree","4","half","0.97","0.0800000000000001","0.671574212483703","0.793890734029211"
"37","PamaNyungantree","4","positiveloss","0.952","0.004","0.671574212483703","0.999999998889668"
"38","PamaNyungantree","4","ecologyloss",NA,"0.034","0.671574212483703","0.559239132223385"
"39","PamaNyungantree","4","horizontal10","0.974","0.03","0.671574212483703","0"
"40","PamaNyungantree","4","horizontal10clade","0.99","0.00800000000000001","0.671574212483703","0"
"41","PamaNyungantree","4","horizontal10ecology","0.96","0.00800000000000001","0.671574212483703","0"
"42","PamaNyungantree","4","horizontalnodes","0.848","0.01","0.671574212483703","0"
"43","PamaNyungantree","4","horizontalnodesecology","0.664","0.0660000000000001","0.671574212483703","0"
"44","PamaNyungantree","4","horizontalneighbor","0.894","0.038","0.671574212483703","0"
"45","PamaNyungantree","5","full","0.792","0.124","0.445022373961532","1"
"46","PamaNyungantree","5","threequarter","0.972","0.376","0.445022373961532","0"
"47","PamaNyungantree","5","half","0.818","0.214","0.445022373961532","0.999941821403103"
"48","PamaNyungantree","5","positiveloss","0.766","0.244","0.445022373961532","0.999999563929428"
"49","PamaNyungantree","5","ecologyloss",NA,"0.212","0.445022373961532","0.929425955371452"
"50","PamaNyungantree","5","horizontal10","0.736","0.194","0.445022373961532","0"
"51","PamaNyungantree","5","horizontal10clade","0.812","0.14","0.445022373961532","0"
"52","PamaNyungantree","5","horizontal10ecology","0.788","0.19","0.445022373961532","0"
"53","PamaNyungantree","5","horizontalnodes","0.0860000000000001","0.73","0.445022373961532","0"
"54","PamaNyungantree","5","horizontalnodesecology","0.796","0.542","0.445022373961532","0"
"55","PamaNyungantree","5","horizontalneighbor","0.822","0.138","0.445022373961532","0"
"56","PamaNyungantree","6","full","0.444","0.058","0.565173291971214","1"
"57","PamaNyungantree","6","threequarter","0.504","0.142","0.565173291971214","0"
"58","PamaNyungantree","6","half","0.556","0.156","0.565173291971214","0"
"59","PamaNyungantree","6","positiveloss","0.582","0.192","0.565173291971214","0"
"60","PamaNyungantree","6","ecologyloss",NA,"0.094","0.565173291971214","0"
"61","PamaNyungantree","6","horizontal10","0.516","0.078","0.565173291971214","0"
"62","PamaNyungantree","6","horizontal10clade","0.412","0.044","0.565173291971214","0"
"63","PamaNyungantree","6","horizontal10ecology","0.478","0.1","0.565173291971214","0"
"64","PamaNyungantree","6","horizontalnodes","0.00800000000000001","0.272","0.565173291971214","0"
"65","PamaNyungantree","6","horizontalnodesecology","0.002","0.846","0.565173291971214","0"
"66","PamaNyungantree","6","horizontalneighbor","0.494","0.058","0.565173291971214","0"
"67","PamaNyungantree","7","full","0.024","0.004","0.696373277728332","1"
"68","PamaNyungantree","7","threequarter","0.0820000000000001","0.036","0.696373277728332","0"
"69","PamaNyungantree","7","half","0.102","0.028","0.696373277728332","0"
"70","PamaNyungantree","7","positiveloss","0.032","0.00600000000000001","0.696373277728332","0"
"71","PamaNyungantree","7","ecologyloss",NA,"0.042","0.696373277728332","0"
"72","PamaNyungantree","7","horizontal10","0.034","0.001","0.696373277728332","0"
"73","PamaNyungantree","7","horizontal10clade","0.018","0.001","0.696373277728332","0"
"74","PamaNyungantree","7","horizontal10ecology","0.016","0.002","0.696373277728332","0"
"75","PamaNyungantree","7","horizontalnodes","0.128","0.52","0.696373277728332","0"
"76","PamaNyungantree","7","horizontalnodesecology","0.052","0.802","0.696373277728332","0"
