"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait","pvalue_trend"
"1","Grafentree","1","full","0.442","0.148","0.30465532013302","0.999999999999998"
"2","Grafentree","1","threequarter","0.514","0.234","0.30465532013302","0.999999998852945"
"3","Grafentree","1","half","0.48","0.408","0.30465532013302","0.994307977027317"
"4","Grafentree","1","positiveloss","0.538","0.344","0.30465532013302","0.998003642020522"
"5","Grafentree","1","ecologyloss","0.544","0.154","0.30465532013302","0.999999893012906"
"6","Grafentree","1","horizontal10","0.494","0.28","0.30465532013302","0"
"7","Grafentree","1","horizontal10clade","0.386","0.184","0.30465532013302","0"
"8","Grafentree","1","horizontal10ecology","0.408","0.18","0.30465532013302","0"
"9","Grafentree","1","horizontalnodes","0.49","0.198","0.30465532013302","0.999993289994876"
"10","Grafentree","1","horizontalnodesecology","0.452","0.164","0.30465532013302","0.999999999999981"
"11","Grafentree","1","horizontalneighbor","0.536","0.23","0.30465532013302","0"
"12","Grafentree","2","full","0.658","0.498","0.306652398385699","0.999999999999225"
"13","Grafentree","2","threequarter","0.74","0.562","0.306652398385699","0.999998862233418"
"14","Grafentree","2","half","0.768","0.61","0.306652398385699","0.928162884003373"
"15","Grafentree","2","positiveloss","0.706","0.578","0.306652398385699","0.999999155624637"
"16","Grafentree","2","ecologyloss","0.786","0.542","0.306652398385699","0.999998402796106"
"17","Grafentree","2","horizontal10","0.664","0.54","0.306652398385699","0"
"18","Grafentree","2","horizontal10clade","0.568","0.538","0.306652398385699","0"
"19","Grafentree","2","horizontal10ecology","0.756","0.5","0.306652398385699","0"
"20","Grafentree","2","horizontalnodes","0.552","0.572","0.306652398385699","0.999999999928553"
"21","Grafentree","2","horizontalnodesecology","0.56","0.508","0.306652398385699","0.999999999994309"
"22","Grafentree","2","horizontalneighbor","0.746","0.55","0.306652398385699","0"
"23","Grafentree","3","full","0.178","0.146","0.63953211281895","0.999999999998945"
"24","Grafentree","3","threequarter","0.212","0.244","0.63953211281895","0.999998537887215"
"25","Grafentree","3","half","0.312","0.336","0.63953211281895","0.902693165396296"
"26","Grafentree","3","positiveloss","0.284","0.294","0.63953211281895","0.835097935015493"
"27","Grafentree","3","ecologyloss","0.314","0.152","0.63953211281895","0.999998357588669"
"28","Grafentree","3","horizontal10","0.334","0.192","0.63953211281895","0"
"29","Grafentree","3","horizontal10clade","0.256","0.17","0.63953211281895","0"
"30","Grafentree","3","horizontal10ecology","0.216","0.164","0.63953211281895","0"
"31","Grafentree","3","horizontalnodes","0.364","0.26","0.63953211281895","0.999999999999807"
"32","Grafentree","3","horizontalnodesecology","0.268","0.09","0.63953211281895","0.999999999999185"
"33","Grafentree","3","horizontalneighbor","0.354","0.314","0.63953211281895","0"
"34","Grafentree","4","full","0.888","0.996","0.353968389260535","0.999999999998854"
"35","Grafentree","4","threequarter","0.918","0.968","0.353968389260535","0.999999620056145"
"36","Grafentree","4","half","0.954","0.956","0.353968389260535","0"
"37","Grafentree","4","positiveloss","0.934","0.884","0.353968389260535","0.973750361067042"
"38","Grafentree","4","ecologyloss","0.772","0.834","0.353968389260535","0.999812624133186"
"39","Grafentree","4","horizontal10","0.802","0.974","0.353968389260535","0"
"40","Grafentree","4","horizontal10clade","0.776","0.912","0.353968389260535","0"
"41","Grafentree","4","horizontal10ecology","0.948","0.99","0.353968389260535","0"
"42","Grafentree","4","horizontalnodes","0.872","0.984","0.353968389260535","0.999999999994508"
"43","Grafentree","4","horizontalnodesecology","0.23","0.186","0.353968389260535","0.999999999999355"
"44","Grafentree","4","horizontalneighbor","0.912","0.946","0.353968389260535","0"
"45","Grafentree","5","full","0.962","0.114","0.436528930799774","0.999999999999946"
"46","Grafentree","5","threequarter","0.846","0.15","0.436528930799774","0.999999250227971"
"47","Grafentree","5","half","0.874","0.212","0.436528930799774","0.482458846411991"
"48","Grafentree","5","positiveloss","0.882","0.0680000000000001","0.436528930799774","0.999999971829861"
"49","Grafentree","5","ecologyloss","0.888","0.24","0.436528930799774","0.999999760702396"
"50","Grafentree","5","horizontal10","0.806","0.112","0.436528930799774","0"
"51","Grafentree","5","horizontal10clade","0.924","0.0980000000000001","0.436528930799774","0"
"52","Grafentree","5","horizontal10ecology","0.938","0.172","0.436528930799774","0"
"53","Grafentree","5","horizontalnodes","0.996","0.0880000000000001","0.436528930799774","0.9999999999998"
"54","Grafentree","5","horizontalnodesecology","0.958","0.0900000000000001","0.436528930799774","0.999999999999975"
"55","Grafentree","5","horizontalneighbor","0.682","0.146","0.436528930799774","0"
"56","Grafentree","6","full","0.998","0.036","0.661851460633752","0.999999999999353"
"57","Grafentree","6","threequarter","0.914","0.05","0.661851460633752","0.999998101682592"
"58","Grafentree","6","half","0.584","0.0800000000000001","0.661851460633752","0.930771482352248"
"59","Grafentree","6","positiveloss","0.98","0.024","0.661851460633752","0.995873190192248"
"60","Grafentree","6","ecologyloss","0.896","0.05","0.661851460633752","0.99999989319576"
"61","Grafentree","6","horizontal10","0.954","0.028","0.661851460633752","0"
"62","Grafentree","6","horizontal10clade","0.948","0.024","0.661851460633752","0"
"63","Grafentree","6","horizontal10ecology","0.966","0.0600000000000001","0.661851460633752","0"
"64","Grafentree","6","horizontalnodes","0.148","0.44","0.661851460633752","0.999999999781297"
"65","Grafentree","6","horizontalnodesecology","0.998","0.026","0.661851460633752","0.99533211560003"
"66","Grafentree","6","horizontalneighbor","0.746","0.0840000000000001","0.661851460633752","0"
"67","Grafentree","7","full","0.408","0.202","0.381667048472348","0.999999999999999"
"68","Grafentree","7","threequarter","0.516","0.282","0.381667048472348","0.99999999068152"
"69","Grafentree","7","half","0.538","0.28","0.381667048472348","0.996398767397373"
"70","Grafentree","7","positiveloss","0.36","0.268","0.381667048472348","0.999880464817644"
"71","Grafentree","7","ecologyloss","0.486","0.228","0.381667048472348","0.999999264477702"
"72","Grafentree","7","horizontal10","0.47","0.232","0.381667048472348","0"
"73","Grafentree","7","horizontal10clade","0.424","0.194","0.381667048472348","0"
"74","Grafentree","7","horizontal10ecology","0.386","0.264","0.381667048472348","0"
"75","Grafentree","7","horizontalnodes","0.43","0.272","0.381667048472348","0.999914252129106"
"76","Grafentree","7","horizontalnodesecology","0.306","0.134","0.381667048472348","0.999999999999408"
"77","Grafentree","7","horizontalneighbor","0.386","0.254","0.381667048472348","0"
"78","Grafentree","8","full","0.672","0.922","0.5265985312628","0.999999999999989"
"79","Grafentree","8","threequarter","0.804","0.94","0.5265985312628","0.999999982543162"
"80","Grafentree","8","half","0.746","0.902","0.5265985312628","0"
"81","Grafentree","8","positiveloss","0.682","0.954","0.5265985312628","0.999999999999978"
"82","Grafentree","8","ecologyloss","0.572","0.806","0.5265985312628","0.999999997285063"
"83","Grafentree","8","horizontal10","0.68","0.904","0.5265985312628","0"
"84","Grafentree","8","horizontal10clade","0.714","0.994","0.5265985312628","0"
"85","Grafentree","8","horizontal10ecology","0.55","0.842","0.5265985312628","0"
"86","Grafentree","8","horizontalnodes","0.852","0.756","0.5265985312628","0.999999999992798"
"87","Grafentree","8","horizontalnodesecology","0.658","0.954","0.5265985312628","0.999999999474229"
"88","Grafentree","8","horizontalneighbor","0.838","0.978","0.5265985312628","0"
"89","Grafentree","9","full","0.632","0.042","0.809029989296496","0.999999999992804"
"90","Grafentree","9","threequarter","0.956","0.03","0.809029989296496","0.998045571344403"
"91","Grafentree","9","half","0.73","0.22","0.809029989296496","0"
"92","Grafentree","9","positiveloss","0.302","0.062","0.809029989296496","0.999898304285408"
"93","Grafentree","9","ecologyloss","0.87","0.13","0.809029989296496","0.999999521282677"
"94","Grafentree","9","horizontal10","0.724","0.032","0.809029989296496","0"
"95","Grafentree","9","horizontal10clade","0.756","0.026","0.809029989296496","0"
"96","Grafentree","9","horizontal10ecology","0.724","0.062","0.809029989296496","0"
"97","Grafentree","9","horizontalnodes","0.624","0.042","0.809029989296496","0.999999999945142"
"98","Grafentree","9","horizontalnodesecology","0.652","0.026","0.809029989296496","0.999999999987522"
"99","Grafentree","9","horizontalneighbor","0.468","0.09","0.809029989296496","0"
"100","Grafentree","10","full","0.854","0.662","0.24042485453244","0.99999999998249"
"101","Grafentree","10","threequarter","0.848","0.634","0.24042485453244","0.999857002011687"
"102","Grafentree","10","half","0.992","0.924","0.24042485453244","0"
"103","Grafentree","10","positiveloss","0.974","0.722","0.24042485453244","0.895039855479469"
"104","Grafentree","10","ecologyloss","0.954","0.638","0.24042485453244","0.999999063805344"
"105","Grafentree","10","horizontal10","0.832","0.678","0.24042485453244","0"
"106","Grafentree","10","horizontal10clade","0.786","0.628","0.24042485453244","0"
"107","Grafentree","10","horizontal10ecology","0.91","0.714","0.24042485453244","0"
"108","Grafentree","10","horizontalnodes","0.984","0.86","0.24042485453244","0.999999999976389"
"109","Grafentree","10","horizontalnodesecology","0.84","0.604","0.24042485453244","0.999997077758238"
"110","Grafentree","10","horizontalneighbor","0.916","0.734","0.24042485453244","0"
"111","Earlytree","1","full","0.074","0.002","1.22702168216829","0.999999999999995"
"112","Earlytree","1","threequarter","0.086","0.001","1.22702168216829","0"
"113","Earlytree","1","half","0.13","0.004","1.22702168216829","0"
"114","Earlytree","1","positiveloss","0.1","0.006","1.22702168216829","0"
"115","Earlytree","1","ecologyloss","0.15","0.001","1.22702168216829","0"
"116","Earlytree","1","horizontal10","0.068","0.001","1.22702168216829","0"
"117","Earlytree","1","horizontal10clade","0.06","0.001","1.22702168216829","0.998624044227956"
"118","Earlytree","1","horizontal10ecology","0.038","0.001","1.22702168216829","0"
"119","Earlytree","1","horizontalnodes","0.036","0.001","1.22702168216829","0"
"120","Earlytree","1","horizontalnodesecology","0.068","0.001","1.22702168216829","0.999939451733593"
"121","Earlytree","1","horizontalneighbor","0.096","0.001","1.22702168216829","0"
