"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait"
"1","PamaNyungantree","1","full","0.001","0.002","6683.5291462119"
"2","PamaNyungantree","1","threequarter","0.02","0.001","6683.5291462119"
"3","PamaNyungantree","1","half","0.002","0.062","6683.5291462119"
"4","PamaNyungantree","1","positiveloss","0.001","0.01","6683.5291462119"
"5","PamaNyungantree","1","ecologyloss",NA,"0.001","6683.5291462119"
"6","PamaNyungantree","1","horizontal10","0.001","0.01","6683.5291462119"
"7","PamaNyungantree","1","horizontal10clade","0.001","0.001","6683.5291462119"
"8","PamaNyungantree","1","horizontal10ecology","0.001","0.014","6683.5291462119"
"9","PamaNyungantree","1","horizontalnodes","0.001","0.002","6683.5291462119"
"10","PamaNyungantree","1","horizontalnodesecology","0.001","0.006","6683.5291462119"
"11","PamaNyungantree","1","horizontalneighbor","0.001","0.002","6683.5291462119"
"12","PamaNyungantree","2","full","0.556","0.001","6088.72096876405"
"13","PamaNyungantree","2","threequarter","0.724","0.004","6088.72096876405"
"14","PamaNyungantree","2","half","0.666","0.002","6088.72096876405"
"15","PamaNyungantree","2","positiveloss","0.496","0.001","6088.72096876405"
"16","PamaNyungantree","2","ecologyloss",NA,"0.002","6088.72096876405"
"17","PamaNyungantree","2","horizontal10","0.726","0.001","6088.72096876405"
"18","PamaNyungantree","2","horizontal10clade","0.53","0.001","6088.72096876405"
"19","PamaNyungantree","2","horizontal10ecology","0.478","0.001","6088.72096876405"
"20","PamaNyungantree","2","horizontalnodes","0.464","0.001","6088.72096876405"
"21","PamaNyungantree","2","horizontalnodesecology","0.106","0.001","6088.72096876405"
"22","PamaNyungantree","2","horizontalneighbor","0.424","0.004","6088.72096876405"
"23","PamaNyungantree","3","full","0.032","0.001","7049.23818503303"
"24","PamaNyungantree","3","threequarter","0.034","0.001","7049.23818503303"
"25","PamaNyungantree","3","half","0.424","0.001","7049.23818503303"
"26","PamaNyungantree","3","positiveloss","0.0720000000000001","0.001","7049.23818503303"
"27","PamaNyungantree","3","ecologyloss",NA,"0.001","7049.23818503303"
"28","PamaNyungantree","3","horizontal10","0.052","0.001","7049.23818503303"
"29","PamaNyungantree","3","horizontal10clade","0.00600000000000001","0.001","7049.23818503303"
"30","PamaNyungantree","3","horizontal10ecology","0.024","0.001","7049.23818503303"
"31","PamaNyungantree","3","horizontalnodes","0.016","0.001","7049.23818503303"
"32","PamaNyungantree","3","horizontalnodesecology","0.026","0.001","7049.23818503303"
"33","PamaNyungantree","3","horizontalneighbor","0.032","0.001","7049.23818503303"
"34","PamaNyungantree","4","full","0.818","0.944","5357.00553661656"
"35","PamaNyungantree","4","threequarter","0.652","0.302","5357.00553661656"
"36","PamaNyungantree","4","half","0.168","0.59","5357.00553661656"
"37","PamaNyungantree","4","positiveloss","0.718","0.9","5357.00553661656"
"38","PamaNyungantree","4","ecologyloss",NA,"0.808","5357.00553661656"
