"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait"
"1","Grafentree","1","full","0.798","0.502","0.364685051317459"
"2","Grafentree","1","threequarter","0.834","0.424","0.364685051317459"
"3","Grafentree","1","half","0.868","0.632","0.364685051317459"
"4","Grafentree","1","positiveloss","0.782","0.618","0.364685051317459"
"5","Grafentree","1","ecologyloss","0.81","0.688","0.364685051317459"
"6","Grafentree","1","horizontal10","0.75","0.452","0.364685051317459"
"7","Grafentree","1","horizontal10clade","0.844","0.416","0.364685051317459"
"8","Grafentree","1","horizontal10ecology","0.836","0.482","0.364685051317459"
"9","Grafentree","1","horizontalnodes","0.756","0.55","0.364685051317459"
"10","Grafentree","1","horizontalnodesecology","0.8","0.418","0.364685051317459"
"11","Grafentree","1","horizontalneighbor","0.874","0.592","0.364685051317459"
"12","Grafentree","2","full","0.81","0.1","0.410268042965071"
"13","Grafentree","2","threequarter","0.994","0.224","0.410268042965071"
"14","Grafentree","2","half","0.832","0.308","0.410268042965071"
"15","Grafentree","2","positiveloss","0.906","0.194","0.410268042965071"
"16","Grafentree","2","ecologyloss","0.866","0.322","0.410268042965071"
"17","Grafentree","2","horizontal10","0.734","0.142","0.410268042965071"
"18","Grafentree","2","horizontal10clade","0.89","0.1","0.410268042965071"
"19","Grafentree","2","horizontal10ecology","0.878","0.168","0.410268042965071"
"20","Grafentree","2","horizontalnodes","0.96","0.162","0.410268042965071"
"21","Grafentree","2","horizontalnodesecology","0.824","0.0980000000000001","0.410268042965071"
"22","Grafentree","2","horizontalneighbor","0.944","0.2","0.410268042965071"
"23","Grafentree","3","full","0.172","0.001","0.994762065387436"
"24","Grafentree","3","threequarter","0.166","0.004","0.994762065387436"
"25","Grafentree","3","half","0.356","0.024","0.994762065387436"
"26","Grafentree","3","positiveloss","0.162","0.001","0.994762065387436"
"27","Grafentree","3","ecologyloss","0.274","0.014","0.994762065387436"
"28","Grafentree","3","horizontal10","0.384","0.004","0.994762065387436"
"29","Grafentree","3","horizontal10clade","0.198","0.001","0.994762065387436"
"30","Grafentree","3","horizontal10ecology","0.19","0.001","0.994762065387436"
"31","Grafentree","3","horizontalnodes","0.164","0.001","0.994762065387436"
"32","Grafentree","3","horizontalnodesecology","0.192","0.001","0.994762065387436"
"33","Grafentree","3","horizontalneighbor","0.316","0.004","0.994762065387436"
"34","Grafentree","4","full","0.25","0.01","1.0561209191172"
"35","Grafentree","4","threequarter","0.316","0.024","1.0561209191172"
"36","Grafentree","4","half","0.532","0.078","1.0561209191172"
"37","Grafentree","4","positiveloss","0.284","0.01","1.0561209191172"
