"","Tree","Repetition","Sample","pvalue_ecology","pvalue_alternative","pvalue_clade","variance_trait","median_Ecology1","median_Ecology2","median_Alternative1","median_Alternative2","median_CladeA","median_OtherClades","predictor_variable"
"1","Grafentree","1","full","0.02","0.078","0.001","2.58980141079134","-1.03018235324596","-3.0503843930942","0.166104734241997","-3.03110343119856","0.217114133529204","-3.19920394031972","simmapattemptCladeA"
"2","Grafentree","1","quarterloss","0.074","0.078","0.001","2.58980141079134","-1.0775965338818","-3.0503843930942","0.166104734241997","-3.07874036760802","0.154203570842901","-3.19728956075933","simmapattemptCladeA"
"3","Grafentree","1","halfloss","0.542","0.078","0.001","2.58980141079134","-0.374591504809775","-2.98406333078282","-0.50012353575352","-2.91714131918818","0.408324955819752","-3.19917097976229","simmapattemptCladeA"
"4","Grafentree","1","positiveloss","0.056","0.078","0.001","2.58980141079134","-1.03018235324596","-3.0503843930942","0.166104734241997","-3.03110343119856","0.217114133529204","-3.19920394031972","simmapattemptCladeA"
"5","Grafentree","1","ecologyloss","0.102","0.078","0.001","2.58980141079134","-1.03018235324596","-3.0503843930942","0.166104734241997","-3.01675181936643","0.489274113858009","-3.19980797069909","simmapattemptCladeA"
"6","Grafentree","1","horizontal10","0.114","0.078","0.001","2.58980141079134","-0.933617188800864","-3.0503843930942","0.1126542095263","-3.04747040194347","0.33659546340626","-3.19728956075933","simmapattemptCladeA"
"7","Grafentree","1","horizontal10clade","0.062","0.078","0.001","2.58980141079134","-1.03018235324596","-3.07827539218934","0.166104734241997","-3.04747040194347","0.217114133529204","-3.18861938980112","simmapattemptCladeA"
"8","Grafentree","1","horizontal10ecology","0.06","0.078","0.001","2.58980141079134","-1.03018235324596","-3.04455641079274","0.166104734241997","-3.01408898805443","0.217114133529204","-3.19340817200529","simmapattemptCladeA"
"9","Grafentree","1","horizontalnodes","0.082","0.078","0.001","2.58980141079134","-1.03018235324596","-3.0503843930942","0.166104734241997","-3.03110343119856","0.217114133529204","-3.20235085989999","simmapattemptCladeA"
"10","Grafentree","1","horizontalnodesecology","0.082","0.078","0.001","2.58980141079134","-1.03018235324596","-3.0503843930942","0.166104734241997","-3.03110343119856","0.217114133529204","-3.19340817200529","simmapattemptCladeA"
"11","Grafentree","1","horizontalneighbor","0.162","0.078","0.001","2.58980141079134","-1.06610401292066","-3.05969133758593","-0.417197898329984","-3.04747040194347","0.049889442537191","-3.19340817200529","simmapattemptCladeA"
"12","Grafentree","2","full","0.002","0.054","0.001","2.15077751521453","-1.24087164049529","-2.87835434416964","0.349844381030411","-2.82232321873352","0.383304248347016","-2.93653257991054","simmapattemptCladeA"
"13","Grafentree","2","quarterloss","0.216","0.054","0.001","2.15077751521453","-1.2179656725745","-2.89683437263762","0.316142966748343","-2.83076666558895","0.320783206496996","-2.94152477466442","simmapattemptCladeA"
"14","Grafentree","2","halfloss","0.396","0.054","0.001","2.15077751521453","-1.29434415254721","-2.93734762145853","-0.433144650244505","-2.84817634031902","0.455626175386277","-2.94147411740641","simmapattemptCladeA"
"15","Grafentree","2","positiveloss","0.076","0.054","0.001","2.15077751521453","-1.24087164049529","-2.87835434416964","0.349844381030411","-2.82232321873352","0.383304248347016","-2.93653257991054","simmapattemptCladeA"
"16","Grafentree","2","ecologyloss","0.078","0.054","0.001","2.15077751521453","-1.24087164049529","-2.88759435840363","0.383545795312479","-2.76984841377664","0.455626175386277","-2.92654657658814","simmapattemptCladeA"
"17","Grafentree","2","horizontal10","0.022","0.054","0.001","2.15077751521453","-1.30852080293045","-2.8828521673308","0.434345902079838","-2.83076666558895","0.365594982963922","-2.93405340933691","simmapattemptCladeA"
"18","Grafentree","2","horizontal10clade","0.086","0.054","0.001","2.15077751521453","-1.24087164049529","-2.86228436505685","0.349844381030411","-2.82232321873352","0.383304248347016","-2.93405340933691","simmapattemptCladeA"
"19","Grafentree","2","horizontal10ecology","0.05","0.054","0.001","2.15077751521453","-1.24087164049529","-2.8828521673308","0.349844381030411","-2.82788802456329","0.382902356136447","-2.93653257991054","simmapattemptCladeA"
"20","Grafentree","2","horizontalnodes","0.056","0.054","0.001","2.15077751521453","-1.29434415254721","-2.87835434416964","0.349844381030411","-2.82232321873352","0.365594982963922","-2.93653257991054","simmapattemptCladeA"
"21","Grafentree","2","horizontalnodesecology","0.058","0.054","0.001","2.15077751521453","-1.24087164049529","-2.87190402604652","0.349844381030411","-2.82232321873352","0.383304248347016","-2.90928917868993","simmapattemptCladeA"
