"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait","pvalue_trend"
"1","PamaNyungantree","1","full","0.86","0.39","0.114299567451637","1"
"2","PamaNyungantree","1","threequarter","0.982","0.604","0.114299567451637","0.999999999996874"
"3","PamaNyungantree","1","half","0.942","0.514","0.114299567451637","1"
"4","PamaNyungantree","1","positiveloss","0.956","0.654","0.114299567451637","0.999999999999192"
"5","PamaNyungantree","1","ecologyloss",NA,"0.598","0.114299567451637","0.999999999997072"
"6","PamaNyungantree","1","horizontal10","0.818","0.534","0.114299567451637","0.999999999716029"
"7","PamaNyungantree","1","horizontal10clade","0.848","0.474","0.114299567451637","1"
"8","PamaNyungantree","1","horizontal10ecology","0.882","0.532","0.114299567451637","0.999984300962866"
"9","PamaNyungantree","1","horizontalnodes","0.001","0.028","0.114299567451637","0"
"10","PamaNyungantree","1","horizontalnodesecology","0.112","0.99","0.114299567451637","0"
"11","PamaNyungantree","1","horizontalneighbor","0.938","0.56","0.114299567451637","0"
"12","PamaNyungantree","2","full","0.576","0.0820000000000001","0.167493625585572","1"
"13","PamaNyungantree","2","threequarter","0.822","0.2","0.167493625585572","0.999999999985929"
"14","PamaNyungantree","2","half","0.648","0.218","0.167493625585572","0.999999999999997"
"15","PamaNyungantree","2","positiveloss","0.714","0.258","0.167493625585572","0.999999999999985"
"16","PamaNyungantree","2","ecologyloss",NA,"0.302","0.167493625585572","0.999999999869705"
"17","PamaNyungantree","2","horizontal10","0.616","0.134","0.167493625585572","0.999999999804525"
"18","PamaNyungantree","2","horizontal10clade","0.606","0.0680000000000001","0.167493625585572","1"
"19","PamaNyungantree","2","horizontal10ecology","0.576","0.142","0.167493625585572","0"
"20","PamaNyungantree","2","horizontalnodes","0.322","0.242","0.167493625585572","0"
"21","PamaNyungantree","2","horizontalnodesecology","0.982","0.00600000000000001","0.167493625585572","0"
"22","PamaNyungantree","2","horizontalneighbor","0.614","0.17","0.167493625585572","0"
"23","PamaNyungantree","3","full","0.212","0.024","0.347243654100838","1"
"24","PamaNyungantree","3","threequarter","0.6","0.172","0.347243654100838","0.99717461940336"
"25","PamaNyungantree","3","half","0.338","0.0700000000000001","0.347243654100838","0.999997617037272"
"26","PamaNyungantree","3","positiveloss","0.242","0.026","0.347243654100838","1"
"27","PamaNyungantree","3","ecologyloss",NA,"0.208","0.347243654100838","0.997917657018347"
"28","PamaNyungantree","3","horizontal10","0.322","0.046","0.347243654100838","0"
"29","PamaNyungantree","3","horizontal10clade","0.22","0.024","0.347243654100838","0.99999999997816"
"30","PamaNyungantree","3","horizontal10ecology","0.24","0.052","0.347243654100838","0"
"31","PamaNyungantree","3","horizontalnodes","0.768","0.962","0.347243654100838","0"
"32","PamaNyungantree","3","horizontalnodesecology","0.272","0.028","0.347243654100838","0"
"33","PamaNyungantree","3","horizontalneighbor","0.206","0.0700000000000001","0.347243654100838","0"
"34","PamaNyungantree","4","full","0.454","0.408","0.172975299927446","1"
"35","PamaNyungantree","4","threequarter","0.566","0.61","0.172975299927446","0.999999995335135"
"36","PamaNyungantree","4","half","0.59","0.486","0.172975299927446","0.999999999999941"
"37","PamaNyungantree","4","positiveloss","0.496","0.508","0.172975299927446","0.999999999999629"
"38","PamaNyungantree","4","ecologyloss",NA,"0.382","0.172975299927446","0.999999999991308"
"39","PamaNyungantree","4","horizontal10","0.528","0.442","0.172975299927446","0.999999996496274"
"40","PamaNyungantree","4","horizontal10clade","0.41","0.34","0.172975299927446","1"
"41","PamaNyungantree","4","horizontal10ecology","0.474","0.42","0.172975299927446","0.998045699614034"
"42","PamaNyungantree","4","horizontalnodes","0.214","0.094","0.172975299927446","0"
"43","PamaNyungantree","4","horizontalnodesecology","0.788","0.824","0.172975299927446","0"
"44","PamaNyungantree","4","horizontalneighbor","0.658","0.432","0.172975299927446","0"
"45","PamaNyungantree","5","full","0.82","0.022","0.266736841891199","1"
"46","PamaNyungantree","5","threequarter","0.888","0.164","0.266736841891199","0.999999999965549"
"47","PamaNyungantree","5","half","0.756","0.124","0.266736841891199","0.999999999999981"
"48","PamaNyungantree","5","positiveloss","0.968","0.0640000000000001","0.266736841891199","1"
"49","PamaNyungantree","5","ecologyloss",NA,"0.112","0.266736841891199","0.999999999984773"
"50","PamaNyungantree","5","horizontal10","0.834","0.042","0.266736841891199","0"
"51","PamaNyungantree","5","horizontal10clade","0.818","0.04","0.266736841891199","1"
"52","PamaNyungantree","5","horizontal10ecology","0.886","0.05","0.266736841891199","0"
"53","PamaNyungantree","5","horizontalnodes","0.36","0.01","0.266736841891199","0"
"54","PamaNyungantree","5","horizontalnodesecology","0.832","0.036","0.266736841891199","0"
"55","PamaNyungantree","5","horizontalneighbor","0.856","0.0720000000000001","0.266736841891199","0"
"56","PamaNyungantree","6","full","0.774","0.372","0.190137697144608","1"
"57","PamaNyungantree","6","threequarter","0.826","0.582","0.190137697144608","0.999999975540355"
"58","PamaNyungantree","6","half","0.872","0.51","0.190137697144608","0.999999999999145"
"59","PamaNyungantree","6","positiveloss","0.818","0.42","0.190137697144608","0.999999999998471"
"60","PamaNyungantree","6","ecologyloss",NA,"0.462","0.190137697144608","0.999999963940541"
"61","PamaNyungantree","6","horizontal10","0.848","0.5","0.190137697144608","0"
"62","PamaNyungantree","6","horizontal10clade","0.786","0.422","0.190137697144608","0"
"63","PamaNyungantree","6","horizontal10ecology","0.714","0.532","0.190137697144608","0"
"64","PamaNyungantree","6","horizontalnodes","0.672","0.032","0.190137697144608","0"
"65","PamaNyungantree","6","horizontalnodesecology","0.472","0.134","0.190137697144608","0"
"66","PamaNyungantree","6","horizontalneighbor","0.958","0.52","0.190137697144608","0"
"67","PamaNyungantree","7","full","0.456","0.798","0.27013312155325","1"
"68","PamaNyungantree","7","threequarter","0.764","0.812","0.27013312155325","0.999999999869878"
"69","PamaNyungantree","7","half","0.448","0.878","0.27013312155325","0.999999999999995"
"70","PamaNyungantree","7","positiveloss","0.736","0.788","0.27013312155325","0.999999999999989"
"71","PamaNyungantree","7","ecologyloss",NA,"0.978","0.27013312155325","0.999999999631422"
"72","PamaNyungantree","7","horizontal10","0.522","0.788","0.27013312155325","0"
"73","PamaNyungantree","7","horizontal10clade","0.498","0.712","0.27013312155325","1"
"74","PamaNyungantree","7","horizontal10ecology","0.476","0.822","0.27013312155325","0"
"75","PamaNyungantree","7","horizontalnodes","0.974","0.394","0.27013312155325","0"
"76","PamaNyungantree","7","horizontalnodesecology","0.918","0.566","0.27013312155325","0"
"77","PamaNyungantree","7","horizontalneighbor","0.502","0.764","0.27013312155325","0"
"78","PamaNyungantree","8","full","0.996","0.336","0.281512196735742","1"
"79","PamaNyungantree","8","threequarter","0.92","0.544","0.281512196735742","0.998682006555883"
"80","PamaNyungantree","8","half","0.858","0.568","0.281512196735742","0.999999989516125"
"81","PamaNyungantree","8","positiveloss","0.892","0.374","0.281512196735742","1"
"82","PamaNyungantree","8","ecologyloss",NA,"0.464","0.281512196735742","0.99999818698059"
"83","PamaNyungantree","8","horizontal10","0.884","0.446","0.281512196735742","0"
"84","PamaNyungantree","8","horizontal10clade","0.884","0.452","0.281512196735742","0"
"85","PamaNyungantree","8","horizontal10ecology","1","0.436","0.281512196735742","0"
"86","PamaNyungantree","8","horizontalnodes","0.0640000000000001","0.746","0.281512196735742","0"
"87","PamaNyungantree","8","horizontalnodesecology","0.954","0.456","0.281512196735742","0"
"88","PamaNyungantree","8","horizontalneighbor","0.874","0.4","0.281512196735742","0"
"89","PamaNyungantree","9","full","0.346","0.314","0.45293872287154","1"
"90","PamaNyungantree","9","threequarter","0.452","0.424","0.45293872287154","0.969383207249234"
"91","PamaNyungantree","9","half","0.392","0.444","0.45293872287154","0.999998772514324"
"92","PamaNyungantree","9","positiveloss","0.27","0.436","0.45293872287154","0.999999975794415"
"93","PamaNyungantree","9","ecologyloss",NA,"0.206","0.45293872287154","0.999988300973939"
"94","PamaNyungantree","9","horizontal10","0.412","0.328","0.45293872287154","0"
"95","PamaNyungantree","9","horizontal10clade","0.274","0.302","0.45293872287154","0.999999999999979"
"96","PamaNyungantree","9","horizontal10ecology","0.28","0.336","0.45293872287154","0"
"97","PamaNyungantree","9","horizontalnodes","0.29","0.24","0.45293872287154","0"
"98","PamaNyungantree","9","horizontalnodesecology","0.63","0.71","0.45293872287154","0"
"99","PamaNyungantree","9","horizontalneighbor","0.36","0.346","0.45293872287154","0"
"100","PamaNyungantree","10","full","0.806","0.206","0.154554031674739","1"
"101","PamaNyungantree","10","threequarter","0.948","0.416","0.154554031674739","0.999999999999933"
"102","PamaNyungantree","10","half","0.74","0.394","0.154554031674739","0.999999999999999"
"103","PamaNyungantree","10","positiveloss","0.916","0.436","0.154554031674739","0.999999999999993"
"104","PamaNyungantree","10","ecologyloss",NA,"0.424","0.154554031674739","0.999999999656965"
"105","PamaNyungantree","10","horizontal10","0.858","0.244","0.154554031674739","0.99999999999228"
"106","PamaNyungantree","10","horizontal10clade","0.778","0.22","0.154554031674739","1"
"107","PamaNyungantree","10","horizontal10ecology","0.788","0.29","0.154554031674739","0"
"108","PamaNyungantree","10","horizontalnodes","0.38","0.984","0.154554031674739","0"
"109","PamaNyungantree","10","horizontalnodesecology","0.636","0.398","0.154554031674739","0"
"110","PamaNyungantree","10","horizontalneighbor","0.882","0.272","0.154554031674739","0"
"111","Grafentree","1","full","0.934","0.38","0.0995044422534975","1"
"112","Grafentree","1","threequarter","0.942","0.568","0.0995044422534975","1"
"113","Grafentree","1","half","0.998","0.51","0.0995044422534975","1"
"114","Grafentree","1","positiveloss","0.956","0.534","0.0995044422534975","1"
"115","Grafentree","1","ecologyloss",NA,"0.52","0.0995044422534975","1"
"116","Grafentree","1","horizontal10","0.972","0.452","0.0995044422534975","0.71328562255302"
"117","Grafentree","1","horizontal10clade","0.946","0.406","0.0995044422534975","0.999955719426494"
"118","Grafentree","1","horizontal10ecology","0.948","0.52","0.0995044422534975","0"
"119","Grafentree","1","horizontalnodes","0.872","0.368","0.0995044422534975","1"
"120","Grafentree","1","horizontalnodesecology","0.886","0.398","0.0995044422534975","1"
"121","Grafentree","1","horizontalneighbor","0.948","0.47","0.0995044422534975","0"
"122","Grafentree","2","full","0.612","0.206","0.276272693010303","1"
"123","Grafentree","2","threequarter","0.582","0.476","0.276272693010303","1"
"124","Grafentree","2","half","0.772","0.326","0.276272693010303","1"
"125","Grafentree","2","positiveloss","0.694","0.214","0.276272693010303","1"
"126","Grafentree","2","ecologyloss",NA,"0.266","0.276272693010303","1"
"127","Grafentree","2","horizontal10","0.64","0.28","0.276272693010303","0"
"128","Grafentree","2","horizontal10clade","0.64","0.202","0.276272693010303","0.735779105346556"
"129","Grafentree","2","horizontal10ecology","0.63","0.246","0.276272693010303","0"
"130","Grafentree","2","horizontalnodes","0.612","0.232","0.276272693010303","1"
"131","Grafentree","2","horizontalnodesecology","0.618","0.178","0.276272693010303","1"
"132","Grafentree","2","horizontalneighbor","0.746","0.328","0.276272693010303","0"
"133","Grafentree","3","full","0.478","0.776","0.309571039525819","1"
"134","Grafentree","3","threequarter","0.53","0.828","0.309571039525819","1"
"135","Grafentree","3","half","0.712","0.812","0.309571039525819","1"
"136","Grafentree","3","positiveloss","0.738","0.766","0.309571039525819","1"
"137","Grafentree","3","ecologyloss",NA,"0.984","0.309571039525819","1"
"138","Grafentree","3","horizontal10","0.668","0.762","0.309571039525819","0"
"139","Grafentree","3","horizontal10clade","0.446","0.77","0.309571039525819","0.999999999999895"
"140","Grafentree","3","horizontal10ecology","0.574","0.784","0.309571039525819","0"
"141","Grafentree","3","horizontalnodes","0.578","0.844","0.309571039525819","1"
"142","Grafentree","3","horizontalnodesecology","0.486","0.762","0.309571039525819","1"
"143","Grafentree","3","horizontalneighbor","0.598","0.856","0.309571039525819","0"
"144","Grafentree","4","full","0.648","0.00600000000000001","0.500582593166072","1"
"145","Grafentree","4","threequarter","0.816","0.114","0.500582593166072","1"
"146","Grafentree","4","half","0.48","0.054","0.500582593166072","1"
"147","Grafentree","4","positiveloss","0.658","0.018","0.500582593166072","1"
"148","Grafentree","4","ecologyloss",NA,"0.118","0.500582593166072","1"
"149","Grafentree","4","horizontal10","0.644","0.036","0.500582593166072","0"
"150","Grafentree","4","horizontal10clade","0.604","0.00800000000000001","0.500582593166072","1"
"151","Grafentree","4","horizontal10ecology","0.634","0.024","0.500582593166072","0"
"152","Grafentree","4","horizontalnodes","0.594","0.00800000000000001","0.500582593166072","1"
"153","Grafentree","4","horizontalnodesecology","0.598","0.00800000000000001","0.500582593166072","1"
"154","Grafentree","4","horizontalneighbor","0.69","0.026","0.500582593166072","0"
"155","Grafentree","5","full","0.37","0.024","0.238999730813186","1"
"156","Grafentree","5","threequarter","0.52","0.168","0.238999730813186","1"
"157","Grafentree","5","half","0.492","0.136","0.238999730813186","1"
"158","Grafentree","5","positiveloss","0.592","0.106","0.238999730813186","1"
"159","Grafentree","5","ecologyloss",NA,"0.17","0.238999730813186","1"
"160","Grafentree","5","horizontal10","0.362","0.072","0.238999730813186","0"
"161","Grafentree","5","horizontal10clade","0.35","0.052","0.238999730813186","0.999999999864756"
"162","Grafentree","5","horizontal10ecology","0.356","0.062","0.238999730813186","0"
"163","Grafentree","5","horizontalnodes","0.336","0.026","0.238999730813186","1"
"164","Grafentree","5","horizontalnodesecology","0.378","0.016","0.238999730813186","1"
"165","Grafentree","5","horizontalneighbor","0.3","0.05","0.238999730813186","0"
"166","Grafentree","6","full","0.436","0.00600000000000001","0.336165942230338","1"
"167","Grafentree","6","threequarter","0.712","0.0580000000000001","0.336165942230338","1"
"168","Grafentree","6","half","0.53","0.0700000000000001","0.336165942230338","1"
"169","Grafentree","6","positiveloss","0.716","0.036","0.336165942230338","1"
"170","Grafentree","6","ecologyloss",NA,"0.0800000000000001","0.336165942230338","1"
"171","Grafentree","6","horizontal10","0.476","0.00600000000000001","0.336165942230338","0"
"172","Grafentree","6","horizontal10clade","0.466","0.004","0.336165942230338","1"
"173","Grafentree","6","horizontal10ecology","0.512","0.014","0.336165942230338","0"
"174","Grafentree","6","horizontalnodes","0.462","0.002","0.336165942230338","1"
"175","Grafentree","6","horizontalnodesecology","0.438","0.004","0.336165942230338","1"
"176","Grafentree","6","horizontalneighbor","0.512","0.014","0.336165942230338","0"
"177","Grafentree","7","full","0.316","0.076","0.37194211949653","1"
"178","Grafentree","7","threequarter","0.548","0.268","0.37194211949653","1"
"179","Grafentree","7","half","0.7","0.286","0.37194211949653","1"
"180","Grafentree","7","positiveloss","0.418","0.128","0.37194211949653","1"
"181","Grafentree","7","ecologyloss",NA,"0.336","0.37194211949653","1"
"182","Grafentree","7","horizontal10","0.468","0.152","0.37194211949653","0"
"183","Grafentree","7","horizontal10clade","0.318","0.09","0.37194211949653","1"
"184","Grafentree","7","horizontal10ecology","0.33","0.106","0.37194211949653","0"
"185","Grafentree","7","horizontalnodes","0.324","0.08","0.37194211949653","1"
"186","Grafentree","7","horizontalnodesecology","0.312","0.082","0.37194211949653","1"
"187","Grafentree","7","horizontalneighbor","0.492","0.16","0.37194211949653","0"
"188","Grafentree","8","full","0.974","0.274","0.140622291317422","1"
"189","Grafentree","8","threequarter","0.994","0.374","0.140622291317422","0.999999999999969"
"190","Grafentree","8","half","0.944","0.39","0.140622291317422","1"
"191","Grafentree","8","positiveloss","0.902","0.368","0.140622291317422","1"
"192","Grafentree","8","ecologyloss",NA,"0.44","0.140622291317422","0.999999999999939"
"193","Grafentree","8","horizontal10","0.992","0.358","0.140622291317422","0.717939542805206"
"194","Grafentree","8","horizontal10clade","0.934","0.244","0.140622291317422","0.999999997839072"
"195","Grafentree","8","horizontal10ecology","0.954","0.356","0.140622291317422","0"
"196","Grafentree","8","horizontalnodes","0.99","0.304","0.140622291317422","1"
"197","Grafentree","8","horizontalnodesecology","0.998","0.268","0.140622291317422","1"
"198","Grafentree","8","horizontalneighbor","0.994","0.388","0.140622291317422","0"
"199","Grafentree","9","full","0.59","0.228","0.227773848397297","1"
"200","Grafentree","9","threequarter","0.808","0.42","0.227773848397297","1"
"201","Grafentree","9","half","0.608","0.388","0.227773848397297","1"
"202","Grafentree","9","positiveloss","0.702","0.278","0.227773848397297","1"
"203","Grafentree","9","ecologyloss",NA,"0.398","0.227773848397297","1"
"204","Grafentree","9","horizontal10","0.752","0.33","0.227773848397297","0"
"205","Grafentree","9","horizontal10clade","0.562","0.204","0.227773848397297","0"
"206","Grafentree","9","horizontal10ecology","0.676","0.296","0.227773848397297","0"
"207","Grafentree","9","horizontalnodes","0.54","0.234","0.227773848397297","1"
"208","Grafentree","9","horizontalnodesecology","0.622","0.24","0.227773848397297","1"
"209","Grafentree","9","horizontalneighbor","0.702","0.448","0.227773848397297","0"
"210","Grafentree","10","full","0.558","0.256","0.175266063685835","1"
"211","Grafentree","10","threequarter","0.638","0.368","0.175266063685835","1"
"212","Grafentree","10","half","0.66","0.438","0.175266063685835","1"
"213","Grafentree","10","positiveloss","0.53","0.232","0.175266063685835","1"
"214","Grafentree","10","ecologyloss",NA,"0.382","0.175266063685835","1"
"215","Grafentree","10","horizontal10","0.664","0.27","0.175266063685835","0"
"216","Grafentree","10","horizontal10clade","0.584","0.224","0.175266063685835","0.999845252405527"
"217","Grafentree","10","horizontal10ecology","0.576","0.29","0.175266063685835","0"
"218","Grafentree","10","horizontalnodes","0.582","0.232","0.175266063685835","1"
"219","Grafentree","10","horizontalnodesecology","0.512","0.31","0.175266063685835","1"
"220","Grafentree","10","horizontalneighbor","0.64","0.332","0.175266063685835","0"
"221","Earlytree","1","full","0.166","0.001","0.538532427828446","1"
"222","Earlytree","1","threequarter","0.474","0.032","0.538532427828446","0.998183429429107"
"223","Earlytree","1","half","0.38","0.026","0.538532427828446","0.999998751010321"
"224","Earlytree","1","positiveloss","0.35","0.028","0.538532427828446","0.999999757945585"
"225","Earlytree","1","ecologyloss",NA,"0.014","0.538532427828446","0.999902426422165"
"226","Earlytree","1","horizontal10","0.24","0.004","0.538532427828446","0"
"227","Earlytree","1","horizontal10clade","0.18","0.002","0.538532427828446","0"
"228","Earlytree","1","horizontal10ecology","0.182","0.002","0.538532427828446","0"
"229","Earlytree","1","horizontalnodes","0.208","0.002","0.538532427828446","1"
"230","Earlytree","1","horizontalnodesecology","0.16","0.001","0.538532427828446","1"
"231","Earlytree","1","horizontalneighbor","0.382","0.004","0.538532427828446","0"
"232","Earlytree","2","full","0.806","0.684","0.120898376099767","1"
"233","Earlytree","2","threequarter","0.878","0.834","0.120898376099767","0.999999999972294"
"234","Earlytree","2","half","0.924","0.806","0.120898376099767","0.999999999981063"
"235","Earlytree","2","positiveloss","0.898","0.738","0.120898376099767","0.999999999999368"
"236","Earlytree","2","ecologyloss",NA,"0.774","0.120898376099767","0.999999999412173"
"237","Earlytree","2","horizontal10","0.904","0.652","0.120898376099767","0.999995906918732"
"238","Earlytree","2","horizontal10clade","0.854","0.694","0.120898376099767","0.995332414161206"
"239","Earlytree","2","horizontal10ecology","0.848","0.754","0.120898376099767","0.999998281870469"
"240","Earlytree","2","horizontalnodes","0.876","0.674","0.120898376099767","1"
"241","Earlytree","2","horizontalnodesecology","0.844","0.54","0.120898376099767","0"
"242","Earlytree","2","horizontalneighbor","0.856","0.762","0.120898376099767","0"
"243","Earlytree","3","full","0.704","0.002","0.559102371959645","1"
"244","Earlytree","3","threequarter","0.916","0.02","0.559102371959645","0.999893783018934"
"245","Earlytree","3","half","0.73","0.014","0.559102371959645","0.99999825083618"
"246","Earlytree","3","positiveloss","0.762","0.00600000000000001","0.559102371959645","0.999999999969829"
"247","Earlytree","3","ecologyloss",NA,"0.034","0.559102371959645","0.999829174836751"
"248","Earlytree","3","horizontal10","0.772","0.001","0.559102371959645","0"
"249","Earlytree","3","horizontal10clade","0.702","0.001","0.559102371959645","0"
"250","Earlytree","3","horizontal10ecology","0.746","0.00600000000000001","0.559102371959645","0"
"251","Earlytree","3","horizontalnodes","0.772","0.001","0.559102371959645","1"
"252","Earlytree","3","horizontalnodesecology","0.784","0.002","0.559102371959645","1"
"253","Earlytree","3","horizontalneighbor","0.62","0.004","0.559102371959645","0"
"254","Earlytree","4","full","0.212","0.206","0.469238838933824","1"
"255","Earlytree","4","threequarter","0.51","0.434","0.469238838933824","0.999883787761207"
"256","Earlytree","4","half","0.31","0.504","0.469238838933824","0.99999994475335"
"257","Earlytree","4","positiveloss","0.404","0.38","0.469238838933824","0.999999922039755"
"258","Earlytree","4","ecologyloss",NA,"0.472","0.469238838933824","0.999993921719439"
"259","Earlytree","4","horizontal10","0.372","0.21","0.469238838933824","0"
"260","Earlytree","4","horizontal10clade","0.234","0.19","0.469238838933824","1"
"261","Earlytree","4","horizontal10ecology","0.248","0.29","0.469238838933824","0"
"262","Earlytree","4","horizontalnodes","0.2","0.226","0.469238838933824","1"
"263","Earlytree","4","horizontalnodesecology","0.26","0.234","0.469238838933824","1"
"264","Earlytree","4","horizontalneighbor","0.284","0.3","0.469238838933824","0"
"265","Earlytree","5","full","0.632","0.8","0.211527171493802","1"
"266","Earlytree","5","threequarter","0.872","0.934","0.211527171493802","0.999999553447992"
"267","Earlytree","5","half","0.782","0.852","0.211527171493802","0.999999999667229"
"268","Earlytree","5","positiveloss","0.726","0.98","0.211527171493802","0.999999999577927"
