"","Tree","Repetition","Sample","pvalue_ecology","pvalue_clade","variance_trait","pvalue_trend"
"1","Grafentree","1","full","0.64","0.378","0.289063957735255","1"
"2","Grafentree","1","threequarter","0.708","0.486","0.289063957735255","1"
"3","Grafentree","1","half","0.724","0.442","0.289063957735255","0.999999959073764"
"4","Grafentree","1","positiveloss","0.736","0.584","0.289063957735255","0.999999994823916"
"5","Grafentree","1","ecologyloss","0.712","0.492","0.289063957735255","1"
"6","Grafentree","1","horizontal10","0.746","0.474","0.289063957735255","0"
"7","Grafentree","1","horizontal10clade","0.58","0.412","0.289063957735255","0"
"8","Grafentree","1","horizontal10ecology","0.646","0.472","0.289063957735255","0"
"9","Grafentree","1","horizontalnodes","0.672","0.378","0.289063957735255","1"
"10","Grafentree","1","horizontalnodesecology","0.614","0.392","0.289063957735255","1"
"11","Grafentree","1","horizontalneighbor","0.714","0.414","0.289063957735255","0"
"12","Grafentree","2","full","0.456","0.132","0.202457686296252","1"
"13","Grafentree","2","threequarter","0.498","0.166","0.202457686296252","0.999999999999999"
"14","Grafentree","2","half","0.698","0.284","0.202457686296252","0.999999902598737"
"15","Grafentree","2","positiveloss","0.548","0.29","0.202457686296252","0.999999850723227"
"16","Grafentree","2","ecologyloss","0.516","0.156","0.202457686296252","1"
"17","Grafentree","2","horizontal10","0.508","0.146","0.202457686296252","0"
"18","Grafentree","2","horizontal10clade","0.456","0.102","0.202457686296252","0"
"19","Grafentree","2","horizontal10ecology","0.486","0.162","0.202457686296252","0"
"20","Grafentree","2","horizontalnodes","0.486","0.13","0.202457686296252","1"
"21","Grafentree","2","horizontalnodesecology","0.49","0.11","0.202457686296252","1"
"22","Grafentree","2","horizontalneighbor","0.594","0.236","0.202457686296252","0"
"23","Grafentree","3","full","0.516","0.534","0.407735974731078","1"
"24","Grafentree","3","threequarter","0.606","0.668","0.407735974731078","1"
"25","Grafentree","3","half","0.726","0.542","0.407735974731078","0.999999998648808"
"26","Grafentree","3","positiveloss","0.66","0.718","0.407735974731078","0.999999999999854"
"27","Grafentree","3","ecologyloss","0.572","0.408","0.407735974731078","1"
"28","Grafentree","3","horizontal10","0.704","0.596","0.407735974731078","0"
"29","Grafentree","3","horizontal10clade","0.538","0.606","0.407735974731078","0"
"30","Grafentree","3","horizontal10ecology","0.49","0.466","0.407735974731078","0"
"31","Grafentree","3","horizontalnodes","0.58","0.622","0.407735974731078","1"
"32","Grafentree","3","horizontalnodesecology","0.518","0.502","0.407735974731078","1"
"33","Grafentree","3","horizontalneighbor","0.768","0.56","0.407735974731078","0"
"34","Grafentree","4","full","0.522","0.334","0.280479978383633","1"
"35","Grafentree","4","threequarter","0.558","0.424","0.280479978383633","0.999999999999999"
"36","Grafentree","4","half","0.622","0.44","0.280479978383633","0.99999999425166"
"37","Grafentree","4","positiveloss","0.732","0.584","0.280479978383633","0.999999917741097"
"38","Grafentree","4","ecologyloss","0.62","0.49","0.280479978383633","1"
"39","Grafentree","4","horizontal10","0.552","0.436","0.280479978383633","0"
"40","Grafentree","4","horizontal10clade","0.542","0.444","0.280479978383633","0"
"41","Grafentree","4","horizontal10ecology","0.48","0.432","0.280479978383633","0"
"42","Grafentree","4","horizontalnodes","0.692","0.502","0.280479978383633","1"
"43","Grafentree","4","horizontalnodesecology","0.598","0.442","0.280479978383633","1"
"44","Grafentree","4","horizontalneighbor","0.536","0.42","0.280479978383633","0"
"45","Grafentree","5","full","0.366","0.2","0.241881047663385","1"
"46","Grafentree","5","threequarter","0.564","0.288","0.241881047663385","1"
"47","Grafentree","5","half","0.532","0.384","0.241881047663385","0.999999878319833"
"48","Grafentree","5","positiveloss","0.462","0.282","0.241881047663385","0.999999998659926"
"49","Grafentree","5","ecologyloss","0.48","0.236","0.241881047663385","1"
"50","Grafentree","5","horizontal10","0.446","0.242","0.241881047663385","0"
"51","Grafentree","5","horizontal10clade","0.34","0.166","0.241881047663385","0"
"52","Grafentree","5","horizontal10ecology","0.342","0.166","0.241881047663385","0"
"53","Grafentree","5","horizontalnodes","0.35","0.232","0.241881047663385","1"
"54","Grafentree","5","horizontalnodesecology","0.324","0.17","0.241881047663385","1"
"55","Grafentree","5","horizontalneighbor","0.432","0.256","0.241881047663385","0"
"56","Grafentree","6","full","0.56","0.348","0.3973038551324","1"
"57","Grafentree","6","threequarter","0.626","0.384","0.3973038551324","1"
"58","Grafentree","6","half","0.878","0.418","0.3973038551324","0.999999999567744"
"59","Grafentree","6","positiveloss","0.698","0.318","0.3973038551324","0.999999999999997"
"60","Grafentree","6","ecologyloss","0.606","0.374","0.3973038551324","1"
"61","Grafentree","6","horizontal10","0.71","0.368","0.3973038551324","0"
"62","Grafentree","6","horizontal10clade","0.742","0.348","0.3973038551324","0"
"63","Grafentree","6","horizontal10ecology","0.624","0.41","0.3973038551324","0"
"64","Grafentree","6","horizontalnodes","0.558","0.416","0.3973038551324","1"
"65","Grafentree","6","horizontalnodesecology","0.726","0.194","0.3973038551324","1"
"66","Grafentree","6","horizontalneighbor","0.542","0.404","0.3973038551324","0"
"67","Grafentree","7","full","0.326","0.254","0.254959723350545","1"
"68","Grafentree","7","threequarter","0.33","0.41","0.254959723350545","1"
"69","Grafentree","7","half","0.5","0.408","0.254959723350545","0.999999972179918"
"70","Grafentree","7","positiveloss","0.394","0.298","0.254959723350545","0.99999999981218"
"71","Grafentree","7","ecologyloss","0.338","0.288","0.254959723350545","1"
"72","Grafentree","7","horizontal10","0.38","0.332","0.254959723350545","0"
"73","Grafentree","7","horizontal10clade","0.398","0.27","0.254959723350545","0"
"74","Grafentree","7","horizontal10ecology","0.356","0.328","0.254959723350545","0"
"75","Grafentree","7","horizontalnodes","0.386","0.358","0.254959723350545","1"
"76","Grafentree","7","horizontalnodesecology","0.326","0.306","0.254959723350545","1"
"77","Grafentree","7","horizontalneighbor","0.376","0.264","0.254959723350545","0"
"78","Grafentree","8","full","0.646","0.124","0.253527540926731","1"
"79","Grafentree","8","threequarter","0.572","0.148","0.253527540926731","1"
"80","Grafentree","8","half","0.732","0.228","0.253527540926731","0.999999999975939"
"81","Grafentree","8","positiveloss","0.674","0.166","0.253527540926731","0.999999990287561"
"82","Grafentree","8","ecologyloss","0.734","0.184","0.253527540926731","1"
"83","Grafentree","8","horizontal10","0.622","0.118","0.253527540926731","0"
"84","Grafentree","8","horizontal10clade","0.65","0.078","0.253527540926731","0.976787260491392"
"85","Grafentree","8","horizontal10ecology","0.65","0.14","0.253527540926731","0"
"86","Grafentree","8","horizontalnodes","0.676","0.116","0.253527540926731","1"
"87","Grafentree","8","horizontalnodesecology","0.69","0.098","0.253527540926731","1"
"88","Grafentree","8","horizontalneighbor","0.736","0.152","0.253527540926731","0"
"89","Grafentree","9","full","0.338","0.012","0.448893210615616","1"
"90","Grafentree","9","threequarter","0.462","0.052","0.448893210615616","1"
"91","Grafentree","9","half","0.418","0.104","0.448893210615616","0.999999166779197"
"92","Grafentree","9","positiveloss","0.396","0.0620000000000001","0.448893210615616","0.999999999981375"
"93","Grafentree","9","ecologyloss","0.43","0.05","0.448893210615616","1"
"94","Grafentree","9","horizontal10","0.36","0.016","0.448893210615616","0"
"95","Grafentree","9","horizontal10clade","0.372","0.014","0.448893210615616","0.999999999997022"
"96","Grafentree","9","horizontal10ecology","0.266","0.056","0.448893210615616","0"
"97","Grafentree","9","horizontalnodes","0.288","0.018","0.448893210615616","1"
"98","Grafentree","9","horizontalnodesecology","0.38","0.00600000000000001","0.448893210615616","1"
"99","Grafentree","9","horizontalneighbor","0.344","0.036","0.448893210615616","0"
"100","Grafentree","10","full","0.68","0.956","0.294728301333935","1"
"101","Grafentree","10","threequarter","0.642","0.862","0.294728301333935","1"
"102","Grafentree","10","half","0.802","0.97","0.294728301333935","0.999999997441462"
"103","Grafentree","10","positiveloss","0.904","0.928","0.294728301333935","0.999999999140154"
"104","Grafentree","10","ecologyloss","0.632","0.868","0.294728301333935","1"
"105","Grafentree","10","horizontal10","0.798","0.966","0.294728301333935","0"
"106","Grafentree","10","horizontal10clade","0.648","0.964","0.294728301333935","0"
"107","Grafentree","10","horizontal10ecology","0.73","0.796","0.294728301333935","0"
"108","Grafentree","10","horizontalnodes","0.73","0.978","0.294728301333935","1"
"109","Grafentree","10","horizontalnodesecology","0.74","0.934","0.294728301333935","1"
"110","Grafentree","10","horizontalneighbor","0.686","0.924","0.294728301333935","0"
"111","Earlytree","1","full","0.742","0.15","0.477179075550974","0.99999995742419"
"112","Earlytree","1","threequarter","0.768","0.188","0.477179075550974","0.99978542709844"
"113","Earlytree","1","half","0.826","0.214","0.477179075550974","0"
"114","Earlytree","1","positiveloss","0.72","0.244","0.477179075550974","0.986397622464231"
"115","Earlytree","1","ecologyloss","0.846","0.196","0.477179075550974","0.998494960899018"
"116","Earlytree","1","horizontal10","0.804","0.224","0.477179075550974","0"
"117","Earlytree","1","horizontal10clade","0.762","0.14","0.477179075550974","0"
"118","Earlytree","1","horizontal10ecology","0.77","0.228","0.477179075550974","0"
"119","Earlytree","1","horizontalnodes","0.814","0.122","0.477179075550974","0"
"120","Earlytree","1","horizontalnodesecology","0.782","0.12","0.477179075550974","0.986517944530362"
"121","Earlytree","1","horizontalneighbor","0.7","0.222","0.477179075550974","0"
"122","Earlytree","2","full","0.594","0.002","0.922472304342522","0"
"123","Earlytree","2","threequarter","0.666","0.002","0.922472304342522","0"
"124","Earlytree","2","half","0.85","0.032","0.922472304342522","0"
"125","Earlytree","2","positiveloss","0.758","0.018","0.922472304342522","0"
"126","Earlytree","2","ecologyloss","0.74","0.00600000000000001","0.922472304342522","0"
"127","Earlytree","2","horizontal10","0.466","0.002","0.922472304342522","0"
"128","Earlytree","2","horizontal10clade","0.574","0.004","0.922472304342522","0"
"129","Earlytree","2","horizontal10ecology","0.478","0.00800000000000001","0.922472304342522","0"
"130","Earlytree","2","horizontalnodes","0.528","0.001","0.922472304342522","0"
"131","Earlytree","2","horizontalnodesecology","0.64","0.004","0.922472304342522","0"
"132","Earlytree","2","horizontalneighbor","0.676","0.01","0.922472304342522","0"
"133","Earlytree","3","full","0.766","0.118","0.323525337367664","0.999999999325827"
"134","Earlytree","3","threequarter","0.702","0.22","0.323525337367664","0.999916340863059"
"135","Earlytree","3","half","0.808","0.306","0.323525337367664","0.95414318831295"
"136","Earlytree","3","positiveloss","0.904","0.194","0.323525337367664","0.9996777128308"
"137","Earlytree","3","ecologyloss","0.668","0.29","0.323525337367664","0.999997463101693"
"138","Earlytree","3","horizontal10","0.83","0.188","0.323525337367664","0"
"139","Earlytree","3","horizontal10clade","0.936","0.158","0.323525337367664","0"
"140","Earlytree","3","horizontal10ecology","0.716","0.302","0.323525337367664","0"
"141","Earlytree","3","horizontalnodes","0.804","0.116","0.323525337367664","0.998662983263432"
"142","Earlytree","3","horizontalnodesecology","0.834","0.298","0.323525337367664","0"
"143","Earlytree","3","horizontalneighbor","0.854","0.186","0.323525337367664","0"
"144","Earlytree","4","full","0.856","0.982","0.147941823251021","0.999999999991782"
"145","Earlytree","4","threequarter","0.918","0.922","0.147941823251021","0.999999202480672"
