"","society","tribes","ecoregion","region"
"1","North Tlingit",1,"Pacific Coastal Mountain Icefields and Tundra",24
"2","Tlingit",2,"Northern Pacific Coastal Forests",22
"3","Tututni",32,"Klamath-Siskiyou Forests",17
"4","Chetco Athapaskan",33,"Northern California Coastal Forests",21
"5","Galice Creek Athapaskan",34,"Klamath-Siskiyou Forests",17
"6","Tolowa",35,"Klamath-Siskiyou Forests",17
"7","Hupa",38,"Klamath-Siskiyou Forests",17
"8","Sinkyone",40,"Northern California Coastal Forests",21
"9","Nongatl Athapaskan",42,"Klamath-Siskiyou Forests",17
"10","Mattole",41,"Northern California Coastal Forests",21
"11","Kato Athapaskan",43,"Klamath-Siskiyou Forests",17
"12","Alkatcho",93,"Cascade Mountains Leeward Forests",7
"13","Carrier",94,"Fraser Plateau and Basin Complex",15
"14","Chilcotin",95,"Cascade Mountains Leeward Forests",7
"15","North Tonto Western Apache",147,"Arizona Mountains Forests",2
"16","South Tonto Western Apache",148,"Arizona Mountains Forests",2
"17","San Carlos Western Apache",149,"Arizona Mountains Forests",2
"18","Cibecue Western Apache",150,"Colorado Plateau Shrublands",11
"19","White Mountain Western Apache",151,"Arizona Mountains Forests",2
"20","Western Navaho",157,"Colorado Plateau Shrublands",11
"21","Eastern Navaho",158,"Colorado Plateau Shrublands",11
"22","Chiricahua",152,"Chihuahuan desert",10
"23","Huachuca Chiricahua Apache",153,"Chihuahuan desert",10
"24","Mescalero Apache",154,"Arizona Mountains Forests",2
"25","Lipan",155,"East Central Texas Forests",13
"26","Jicarilla Apache",156,"Colorado Plateau Shrublands",11
"27","North Masset Haida",3,"Queen Charlotte Islands",27
"28","Haida",4,"Queen Charlotte Islands",27
"29","Tsimshian",5,"North Cascades Forests",19
"30","Gitksan",6,"North Cascades Forests",19
"31","Chinook",27,"Central Pacific Coastal Forests",9
"32","Wishram",110,"Eastern Cascades Forests",14
"33","Alsea",29,"Central Pacific Coastal Forests",9
"34","Siuslaw",30,"Central Pacific Coastal Forests",9
"35","Coos",31,"Central Pacific Coastal Forests",9
"36","Trinity River Wintu",47,"Klamath-Siskiyou Forests",17
"37","Wintu",48,"Klamath-Siskiyou Forests",17
"38","Sacramento River Wintu",49,"Klamath-Siskiyou Forests",17
"39","Nomlaki",50,"California Interior Chaparral and Woodlands",5
"40","Patwin",67,"California Central Valley Grasslands",3
"41","Valley Maidu",54,"California Central Valley Grasslands",3
"42","Foothill Maidu",55,"Sierra Nevada Forests",28
"43","Mountain Maidu",56,"Sierra Nevada Forests",28
"44","Foothill Nisenan",57,"Sierra Nevada Forests",28
"45","Mountain Nisenan",58,"Sierra Nevada Forests",28
"46","Nisenan",59,"California Interior Chaparral and Woodlands",5
"47","Miwok",68,"California Interior Chaparral and Woodlands",5
"48","Central Miwok",69,"Sierra Nevada Forests",28
"49","Southern Miwok",70,"Sierra Nevada Forests",28
"50","Chuckchansi Yokuts",73,"California Interior Chaparral and Woodlands",5
"51","Kings River Yokuts",74,"California Interior Chaparral and Woodlands",5
"52","Kaweah Yokuts",75,"California Central Valley Grasslands",3
"53","Lake Yokuts",76,"California Interior Chaparral and Woodlands",5
"54","Yauelmani Yokuts",77,"California Central Valley Grasslands",3
"55","Coast Yuki",60,"Klamath-Siskiyou Forests",17
"56","Yuki",61,"Klamath-Siskiyou Forests",17
"57","Wappo",66,"California Interior Chaparral and Woodlands",5
"58","Nez Perce",107,"Palouse Grasslands",25
"59","Umatilla",108,"Snake/Columbia Shrub Steppe",29
"60","Klikitat",109,"Central and Southern Cascades Forests",8
"61","Tenino",111,"Palouse Grasslands",25
"62","Klamath",112,"Eastern Cascades Forests",14
"63","Modoc",113,"Eastern Cascades Forests",14
"64","Zuni",160,"Colorado Plateau Shrublands",11
"65","Haisia",7,"North Cascades Forests",19
"66","Haihais Kwakiutl",8,"North Cascades Forests",19
