,L1,L2,L3,L4,L5,L6,L7,L8,L9
1,NaDene,ContinentalNaDene,Tlingit,1,1,52,86,Tlingit,1
2,NaDene,ContinentalNaDene,Tlingit,1,1,52,86,Tlingit,2
3,NaDene,Haida,Haida,3,17,41,97,HaidaNorthern,3
4,NaDene,Haida,Haida,2,7,12,63,Haida,4
5,Amerind,NorthernAmerind,Penutian,Canadian,14,86,91,TsimshianCoast,5
6,Amerind,NorthernAmerind,Penutian,Canadian,14,86,91,TsimshianCoast,6
7,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Wakashan,Northern,Haisla,7
8,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Wakashan,Northern,Heiltsuk,8
9,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Wakashan,Northern,Heiltsuk,9
10,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Wakashan,Northern,Kwakw'ala,10
11,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,BellaCoola,BellaCoola,11
12,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Wakashan,Southern,KyoquotNootka,12
13,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Wakashan,Southern,Makah,13
14,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Comox,14
15,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Pentlatch,15
16,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Squamish,16
17,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Halkomelem,17
18,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Saanich,18
19,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Halkomelem,19
20,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Halkomelem,20
21,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Lummi,21
22,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Clallam,22
23,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Twana,23
24,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Quinault,24
25,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Lushootseed,25
26,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Chimakuan,46,Quileute,26
27,Amerind,NorthernAmerind,Penutian,Washington,11,77,110,ChinookLower,27
28,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Tillamook,28
29,Amerind,NorthernAmerind,Penutian,Oregon,Coast,Yakonan,26,Alsea,29
30,Amerind,NorthernAmerind,Penutian,Oregon,Coast,Yakonan,47,Siuslaw,30
31,Amerind,NorthernAmerind,Penutian,Oregon,Coast,Coos,31,CoosHanis,31
32,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,PacificCoast,Oregon,TolowaGalice,Tututni,32
33,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,PacificCoast,Oregon,TolowaGalice,Chetco,33
34,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,PacificCoast,Oregon,TolowaGalice,Galice,34
35,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,PacificCoast,Oregon,TolowaGalice,Tolowa,35
36,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Algic,Ritwan,63,Yurok,36
37,Amerind,NorthernAmerind,Hokan,Northern,6,33,7,Karok,37
38,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,PacificCoast,California,Hupa,Hupa,38
39,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Algic,Ritwan,1,Wiyot,39
40,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,PacificCoast,California,MattoleWailaki,Wailaki,40
41,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,PacificCoast,California,MattoleWailaki,Mattole,41
42,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,PacificCoast,California,MattoleWailaki,Wailaki,42
43,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,PacificCoast,California,MattoleWailaki,Kato,43
44,Amerind,NorthernAmerind,Hokan,Northern,3,37,24,Shasta,44
45,Amerind,NorthernAmerind,Hokan,Northern,19,37,24,Shasta,45
46,Amerind,NorthernAmerind,Hokan,Northern,8,39,44,Chimariko,46
47,Amerind,NorthernAmerind,Penutian,California,Wintun,42,32,Wintu,47
48,Amerind,NorthernAmerind,Penutian,California,Wintun,42,32,Wintu,48
49,Amerind,NorthernAmerind,Penutian,California,Wintun,42,32,Wintu,49
50,Amerind,NorthernAmerind,Penutian,California,Wintun,70,38,Nomlaki,50
51,Amerind,NorthernAmerind,Hokan,Northern,Palaihnihan,21,36,Achumawi,51
52,Amerind,NorthernAmerind,Hokan,Northern,Palaihnihan,21,36,Achumawi,52
53,Amerind,NorthernAmerind,Hokan,Northern,Palaihnihan,18,98,Atsugewi,53
54,Amerind,NorthernAmerind,Penutian,California,Maiduan,57,5,ValleyMaidu,54
55,Amerind,NorthernAmerind,Penutian,California,Maiduan,26,79,FoothillMaidu,55
56,Amerind,NorthernAmerind,Penutian,California,Maiduan,47,4,MaiduNortheast,56
57,Amerind,NorthernAmerind,Penutian,California,Maiduan,10,99,Nisenan,57
58,Amerind,NorthernAmerind,Penutian,California,Maiduan,10,99,Nisenan,58
59,Amerind,NorthernAmerind,Penutian,California,Maiduan,10,99,Nisenan,59
60,Amerind,NorthernAmerind,Penutian,Gulf,YukiWappo,48,106,Yuki,60
61,Amerind,NorthernAmerind,Penutian,Gulf,YukiWappo,48,106,Yuki,61
62,Amerind,NorthernAmerind,Hokan,Northern,Yanan,31,84,Yana,62
63,Amerind,NorthernAmerind,Hokan,Northern,Pomo,RussianRiverEastern,RussianRiver,NorthernPomo,63
64,Amerind,NorthernAmerind,Hokan,Northern,Pomo,RussianRiverEastern,81,EasternPomo,64
65,Amerind,NorthernAmerind,Hokan,Northern,Pomo,RussianRiverEastern,RussianRiver,SouthernPomo,65
66,Amerind,NorthernAmerind,Penutian,Gulf,YukiWappo,67,76,Wappo,66
67,Amerind,NorthernAmerind,Penutian,California,Wintun,81,15,Patwin,67
68,Amerind,NorthernAmerind,Penutian,California,MiwokCostanoan,Miwok,Eastern,MiwokNorthernSierr,68
69,Amerind,NorthernAmerind,Penutian,California,MiwokCostanoan,Miwok,Eastern,MiwokCentralSierra,69
70,Amerind,NorthernAmerind,Penutian,California,MiwokCostanoan,Miwok,Eastern,MiwokSouthernSierr,70
71,Amerind,CentralAmerind,UtoAztecan,Numic,Western,63,33,Mono,71
72,Amerind,CentralAmerind,UtoAztecan,Numic,Western,63,33,Mono,72
73,Amerind,NorthernAmerind,Penutian,California,Yokuts,56,41,Yaudanchi,73
74,Amerind,NorthernAmerind,Penutian,California,Yokuts,56,41,Yaudanchi,74
75,Amerind,NorthernAmerind,Penutian,California,Yokuts,56,41,Yaudanchi,75
76,Amerind,NorthernAmerind,Penutian,California,Yokuts,62,80,LakeYokuts,76
77,Amerind,NorthernAmerind,Penutian,California,Yokuts,3,45,Yawelmani,77
78,Amerind,CentralAmerind,UtoAztecan,Tôbatulabal,44,80,101,Tôbatulabal,78
79,Amerind,CentralAmerind,UtoAztecan,Numic,Southern,8,57,Kawaiisu,79
80,Amerind,NorthernAmerind,Hokan,SalinanChumash,12,38,28,Salinan,80
81,Amerind,CentralAmerind,UtoAztecan,Takic,18,2,93,Tongva,81
82,Amerind,CentralAmerind,UtoAztecan,Takic,Cupan,25,53,Luise_o,82
83,Amerind,CentralAmerind,UtoAztecan,Takic,Cupan,CahuillaCupeno,88,Cupe_o,83
84,Amerind,CentralAmerind,UtoAztecan,Takic,Serran,79,27,Serrano,84
85,Amerind,CentralAmerind,UtoAztecan,Takic,Cupan,CahuillaCupeno,100,Cahuilla,85
86,Amerind,CentralAmerind,UtoAztecan,Takic,Cupan,CahuillaCupeno,100,Cahuilla,86
87,Amerind,CentralAmerind,UtoAztecan,Takic,Cupan,CahuillaCupeno,100,Cahuilla,87
88,Amerind,NorthernAmerind,Hokan,SeriYuman,Yuman,DeltaCalifornian,73,Diegue_o,88
89,Amerind,NorthernAmerind,Hokan,SeriYuman,Yuman,DeltaCalifornian,73,Diegue_o,89
90,Amerind,NorthernAmerind,Hokan,SeriYuman,Yuman,DeltaCalifornian,73,Diegue_o,90
91,Amerind,NorthernAmerind,Hokan,SeriYuman,Yuman,Kiliwa,85,Kiliwa,91
92,Amerind,NorthernAmerind,Hokan,SeriYuman,Yuman,Pai,Paipai,Paipai,92
93,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,Canadian,CarrierChilcotin,BabineCarrier,Carrier,93
94,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,Canadian,CarrierChilcotin,BabineCarrier,Carrier,94
95,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,Canadian,CarrierChilcotin,Chilcotin,Chicoltin,95
96,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Shuswap,96
97,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Lillooet,97
98,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Thompson,98
99,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Okanagan,99
100,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Okanagan,100
101,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,ColumbiaWenatchi,101
102,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,ColumbiaWenatchi,102
103,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Coeurd'Alene,103
104,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Kalispel,104
105,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Mosan,Salish,SalishProper,Kalispel,105
106,Amerind,NorthernAmerind,AlmosanKeresiouan,Almosan,Kutenai,14,72,Kutenai,106
107,Amerind,NorthernAmerind,Penutian,Plateau,SahaptinNezPerce,27,108,NezPerce,107
108,Amerind,NorthernAmerind,Penutian,Plateau,SahaptinNezPerce,84,13,SahaptinUmatilla,108
109,Amerind,NorthernAmerind,Penutian,Plateau,SahaptinNezPerce,9,69,SahaptinNorthern,109
110,Amerind,NorthernAmerind,Penutian,Washington,10,53,14,ChinookUpper,110
111,Amerind,NorthernAmerind,Penutian,Plateau,SahaptinNezPerce,65,60,Tenino,111
112,Amerind,NorthernAmerind,Penutian,Plateau,Klamath,59,66,KlamathModoc,112
113,Amerind,NorthernAmerind,Penutian,Plateau,Klamath,59,66,KlamathModoc,113
114,Amerind,CentralAmerind,UtoAztecan,Numic,Western,45,65,NorthernPaiute,114
115,Amerind,CentralAmerind,UtoAztecan,Numic,Western,45,65,NorthernPaiute,115
116,Amerind,CentralAmerind,UtoAztecan,Numic,Western,45,65,NorthernPaiute,116
117,Amerind,CentralAmerind,UtoAztecan,Numic,Western,63,33,Mono,117
118,Amerind,CentralAmerind,UtoAztecan,Numic,Central,69,70,TômpisaShoshone,118
119,Amerind,NorthernAmerind,Hokan,Washo,5,61,105,Washo,119
120,Amerind,CentralAmerind,UtoAztecan,Numic,Central,58,21,Shoshone,120
121,Amerind,CentralAmerind,UtoAztecan,Numic,Central,58,21,Shoshone,121
122,Amerind,CentralAmerind,UtoAztecan,Numic,Central,58,21,Shoshone,122
123,Amerind,CentralAmerind,UtoAztecan,Numic,Central,58,21,Shoshone,123
124,Amerind,CentralAmerind,UtoAztecan,Numic,Central,58,21,Shoshone,124
125,Amerind,CentralAmerind,UtoAztecan,Numic,Central,58,21,Shoshone,125
126,Amerind,CentralAmerind,UtoAztecan,Numic,Central,58,21,Shoshone,126
127,Amerind,CentralAmerind,UtoAztecan,Numic,Central,58,21,Shoshone,127
128,Amerind,CentralAmerind,UtoAztecan,Numic,Central,58,21,Shoshone,128
129,Amerind,CentralAmerind,UtoAztecan,Numic,Southern,64,102,Ute,129
130,Amerind,CentralAmerind,UtoAztecan,Numic,Southern,64,102,Ute,130
131,Amerind,CentralAmerind,UtoAztecan,Numic,Southern,64,102,Ute,131
132,Amerind,CentralAmerind,UtoAztecan,Numic,Southern,19,40,SouthernPaiute,132
133,Amerind,CentralAmerind,UtoAztecan,Numic,Southern,19,40,SouthernPaiute,133
134,Amerind,CentralAmerind,UtoAztecan,Numic,Southern,19,40,SouthernPaiute,134
135,Amerind,CentralAmerind,UtoAztecan,Numic,Southern,68,71,Chemehuevi,135
136,Amerind,NorthernAmerind,Hokan,SeriYuman,Yuman,Pai,UplandYuman,Havasupai,136
137,Amerind,NorthernAmerind,Hokan,SeriYuman,Yuman,Pai,UplandYuman,Hualapai,137
138,Amerind,NorthernAmerind,Hokan,SeriYuman,Yuman,Pai,UplandYuman,Yavapai,138
139,Amerind,NorthernAmerind,Hokan,SeriYuman,Yuman,Pai,UplandYuman,Yavapai,139
140,Amerind,NorthernAmerind,Hokan,SeriYuman,Yuman,River,103,Mohave,140
141,Amerind,NorthernAmerind,Hokan,SeriYuman,Yuman,River,68,Quechan,141
142,Amerind,NorthernAmerind,Hokan,SeriYuman,Yuman,DeltaCalifornian,73,Diegue_o,142
143,Amerind,NorthernAmerind,Hokan,SeriYuman,Yuman,DeltaCalifornian,12,Cocopa,143
144,Amerind,NorthernAmerind,Hokan,SeriYuman,Yuman,River,54,Maricopa,144
145,Amerind,CentralAmerind,UtoAztecan,Pimic,Piman,99,16,O'odham,145
146,Amerind,CentralAmerind,UtoAztecan,Pimic,Piman,66,16,O'odham,146
147,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,Apachean,NavajoApache,WesternApacheNavajo,ApacheWestern,147
148,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,Apachean,NavajoApache,WesternApacheNavajo,ApacheWestern,148
149,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,Apachean,NavajoApache,WesternApacheNavajo,ApacheWestern,149
150,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,Apachean,NavajoApache,WesternApacheNavajo,ApacheWestern,150
151,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,Apachean,NavajoApache,WesternApacheNavajo,ApacheWestern,151
152,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,Apachean,NavajoApache,1140,ApacheChiricahua,152
153,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,Apachean,NavajoApache,1140,ApacheChiricahua,153
154,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,Apachean,NavajoApache,1140,ApacheChiricahua,154
155,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,Apachean,NavajoApache,35,Lipan,155
156,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,Apachean,NavajoApache,2,ApacheJicarilla,156
157,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,Apachean,NavajoApache,WesternApacheNavajo,Navajo,157
158,NaDene,ContinentalNaDene,AthabaskanEyak,Athabaskan,Apachean,NavajoApache,WesternApacheNavajo,Navajo,158
159,Amerind,CentralAmerind,UtoAztecan,Hopi,4,15,34,Hopi,159
160,Amerind,NorthernAmerind,Penutian,NewMexico,16,7,39,Zuni,160
161,Amerind,NorthernAmerind,AlmosanKeresiouan,Keresiouan,Keresan,49,104,Acoma,161
162,Amerind,NorthernAmerind,AlmosanKeresiouan,Keresiouan,Keresan,82,20,KeresanSantaAna,162
163,Amerind,NorthernAmerind,AlmosanKeresiouan,Keresiouan,Keresan,82,20,KeresanSantaAna,163
164,Amerind,NorthernAmerind,AlmosanKeresiouan,Keresiouan,Keresan,82,20,KeresanSantaAna,164
165,Amerind,NorthernAmerind,AlmosanKeresiouan,Keresiouan,Keresan,82,20,KeresanSantaAna,165
166,Amerind,CentralAmerind,Tanoan,TewaTiwa,Tewa,83,46,TewaSanJuanPueblo,166
167,Amerind,CentralAmerind,Tanoan,TewaTiwa,Tewa,83,46,TewaSanJuanPueblo,167
168,Amerind,CentralAmerind,Tanoan,TewaTiwa,Tewa,83,46,TewaSanJuanPueblo,168
169,Amerind,CentralAmerind,Tanoan,TewaTiwa,Tewa,83,46,TewaSanJuanPueblo,169
170,Amerind,CentralAmerind,Tanoan,TewaTiwa,TiwaPiro,Tiwa,Northern,TiwaNorthern,170
