,L1,L2,L3,L4,L5,L6,L7,L8,L9
1,1,11,111,1111,11111,111111,1111111,11111111,111111111
2,1,11,111,1112,11122,111222,1112222,11122222,111222222
3,1,11,111,1112,11122,111222,1112222,11122222,111222223
4,1,11,111,1112,11122,111222,1112222,11122222,111222224
5,1,11,111,1112,11122,111222,1112222,11122222,111222225
6,1,11,111,1112,11123,111233,1112333,11123333,111233336
7,1,11,111,1112,11123,111233,1112334,11123344,111233447
8,1,11,112,1123,11234,112344,1123445,11234455,112344558
9,1,11,112,1124,11245,112455,1124556,11245566,112455669
10,1,11,112,1124,11245,112455,1124556,11245566,1124556610
11,1,11,112,1124,11245,112455,1124556,11245566,1124556611
12,1,11,112,1124,11245,112455,1124556,11245566,1124556612
13,1,11,112,1124,11245,112455,1124556,11245566,1124556613
14,1,11,112,1124,11245,112455,1124556,11245566,1124556614
15,1,11,112,1124,11245,112455,1124556,11245566,1124556615
16,1,11,112,1124,11245,112455,1124556,11245566,1124556616
17,1,11,112,1124,11245,112455,1124556,11245566,1124556617
18,1,11,112,1124,11245,112456,1124567,11245677,1124567718
19,1,11,112,1124,11246,112467,1124678,11246788,1124678819
20,1,11,112,1124,11246,112468,1124689,11246899,1124689920
21,1,11,112,1124,11246,112468,1124689,11246899,1124689921
22,1,11,112,1124,11246,112468,1124689,11246899,1124689922
23,1,11,112,1124,11246,112469,11246910,1124691010,112469101023
24,1,11,112,1124,11246,112469,11246910,1124691010,112469101024
25,1,11,112,1124,11246,112469,11246910,1124691010,112469101025
26,1,11,112,1124,11246,1124610,112461011,11246101111,1124610111126
27,1,11,112,1124,11247,1124711,112471112,11247111212,1124711121227
28,1,11,112,1124,11247,1124711,112471112,11247111212,1124711121228
29,1,11,112,1124,11247,1124711,112471112,11247111212,1124711121229
30,1,11,112,1124,11247,1124712,112471213,11247121313,1124712131330
31,1,11,112,1124,11247,1124712,112471213,11247121313,1124712131331
32,1,11,112,1124,11247,1124712,112471213,11247121313,1124712131332
33,1,11,112,1125,11258,1125813,112581314,11258131414,1125813141433
34,1,11,112,1125,11258,1125814,112581414,11258141414,1125814141434
35,1,11,112,1126,11269,1126915,112691515,11269151515,1126915151535
36,1,11,112,1127,112710,11271016,1127101616,112710161616,11271016161636
37,1,11,112,1127,112711,11271117,1127111717,112711171717,11271117171737
38,1,11,112,1127,112711,11271118,1127111818,112711181818,11271118181838
39,1,11,112,1127,112711,11271118,1127111819,112711181919,11271118191939
40,1,11,112,1127,112711,11271118,1127111819,112711181919,11271118191940
41,1,11,112,1127,112711,11271118,1127111819,112711181919,11271118191941
42,1,11,112,1127,112712,11271219,1127121920,112712192020,11271219202042
43,1,12,123,1238,123813,12381320,1238132021,123813202121,12381320212143
44,1,12,123,1238,123813,12381320,1238132022,123813202222,12381320222244
45,1,12,123,1238,123814,12381421,1238142123,123814212323,12381421232345
46,1,12,123,1238,123815,12381522,1238152224,123815222424,12381522242446
47,1,12,123,1238,123815,12381523,1238152325,123815232525,12381523252547
48,1,12,123,1238,123815,12381523,1238152326,123815232626,12381523262648
49,1,12,123,1238,123815,12381523,1238152326,123815232627,12381523262749
50,1,12,123,1238,123815,12381523,1238152326,123815232628,12381523262850
51,1,12,123,1238,123815,12381523,1238152326,123815232628,12381523262851
52,1,12,123,1238,123815,12381523,1238152326,123815232629,12381523262952
53,1,12,123,1238,123815,12381523,1238152326,123815232630,12381523263053
54,1,12,123,1238,123815,12381523,1238152326,123815232630,12381523263054
55,1,12,123,1238,123815,12381523,1238152326,123815232630,12381523263055
56,1,12,123,1238,123815,12381523,1238152326,123815232631,12381523263156
57,1,12,123,1238,123815,12381523,1238152326,123815232631,12381523263157
58,1,12,123,1238,123815,12381523,1238152326,123815232632,12381523263258
59,1,12,123,1238,123815,12381523,1238152326,123815232633,12381523263359
60,1,12,123,1238,123815,12381523,1238152326,123815232634,12381523263460
61,1,12,123,1238,123815,12381523,1238152326,123815232635,12381523263561
62,1,12,123,1238,123815,12381523,1238152326,123815232635,12381523263562
63,1,12,123,1238,123815,12381523,1238152326,123815232636,12381523263663
64,1,12,123,1238,123815,12381523,1238152326,123815232637,12381523263764
65,1,12,123,1238,123815,12381523,1238152326,123815232638,12381523263865
66,1,12,123,1238,123815,12381523,1238152326,123815232639,12381523263966
67,1,12,123,1238,123815,12381523,1238152326,123815232640,12381523264067
68,1,12,123,1238,123815,12381523,1238152326,123815232641,12381523264168
69,1,12,123,1238,123815,12381523,1238152326,123815232642,12381523264269
70,1,12,123,1238,123815,12381523,1238152326,123815232643,12381523264370
71,1,12,123,1238,123815,12381524,1238152427,123815242744,12381524274471
72,1,12,123,1238,123815,12381524,1238152427,123815242745,12381524274572
73,1,12,123,1238,123815,12381524,1238152427,123815242745,12381524274573
74,1,12,123,1238,123815,12381524,1238152427,123815242746,12381524274674
75,1,12,123,1238,123815,12381524,1238152428,123815242847,12381524284775
76,1,12,123,1238,123815,12381524,1238152428,123815242848,12381524284876
77,1,12,123,1239,123916,12391625,1239162529,123916252949,12391625294977
78,1,12,123,1239,123916,12391626,1239162630,123916263050,12391626305078
79,1,12,123,1239,123916,12391626,1239162630,123916263050,12391626305079
80,1,12,123,1239,123916,12391626,1239162630,123916263050,12391626305080
81,1,12,123,1239,123916,12391626,1239162630,123916263050,12391626305081
82,1,12,124,12410,1241017,124101727,12410172731,1241017273151,124101727315182
83,1,12,124,12410,1241018,124101828,12410182832,1241018283252,124101828325283
84,1,12,124,12410,1241019,124101929,12410192933,1241019293353,124101929335384
85,1,12,124,12410,1241020,124102030,12410203034,1241020303454,124102030345485
86,1,12,124,12410,1241021,124102131,12410213135,1241021313555,124102131355586
87,1,12,124,12410,1241021,124102132,12410213236,1241021323656,124102132365687
88,1,12,124,12410,1241021,124102132,12410213236,1241021323656,124102132365688
89,1,12,124,12410,1241022,124102233,12410223337,1241022333757,124102233375789
90,1,12,124,12410,1241022,124102233,12410223338,1241022333858,124102233385890
91,1,12,124,12410,1241022,124102233,12410223338,1241022333859,124102233385991
92,1,12,124,12410,1241023,124102334,12410233439,1241023343960,124102334396092
93,1,12,124,12411,1241124,124112435,12411243540,1241124354061,124112435406193
94,1,12,124,12412,1241225,124122536,12412253641,1241225364162,124122536416294
95,1,12,124,12412,1241225,124122536,12412253642,1241225364263,124122536426395
96,1,12,124,12412,1241225,124122536,12412253642,1241225364263,124122536426396
97,1,12,124,12412,1241225,124122536,12412253642,1241225364263,124122536426397
98,1,12,124,12412,1241225,124122536,12412253642,1241225364263,124122536426398
99,1,12,124,12412,1241225,124122537,12412253743,1241225374364,124122537436499
100,1,12,124,12412,1241225,124122538,12412253844,1241225384465,1241225384465100
101,1,12,124,12412,1241225,124122538,12412253845,1241225384566,1241225384566101
102,1,12,124,12412,1241225,124122538,12412253845,1241225384567,1241225384567102
103,1,12,124,12412,1241225,124122538,12412253845,1241225384568,1241225384568103
104,1,12,124,12412,1241225,124122538,12412253845,1241225384568,1241225384568104
105,1,12,124,12412,1241225,124122539,12412253946,1241225394669,1241225394669105
106,1,12,124,12412,1241225,124122539,12412253947,1241225394770,1241225394770106
107,1,12,124,12412,1241225,124122539,12412253948,1241225394871,1241225394871107
108,1,12,124,12413,1241326,124132640,12413264049,1241326404972,1241326404972108
109,1,12,125,12514,1251427,125142741,12514274150,1251427415073,1251427415073109
110,1,12,125,12514,1251427,125142741,12514274150,1251427415073,1251427415073110
111,1,12,125,12514,1251427,125142741,12514274150,1251427415073,1251427415073111
